name,number,birth,position,height/weight,career,down_payment,salary,rank,year,image,team
 김규연,No.60,2002년 08월 23일,투수(우투우타),183cm/91kg, 동수원초(수원영통구리틀)-매향중-공주고,4000만원,3100만원,21 한화 2차 8라운드 72순위,22한화,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/51713.jpg,한화
 김기연,No.12,1997년 09월 07일,포수(우투우타),178cm/95kg, 광주수창초-진흥중-진흥고,7000만원,3500만원,16 LG 2차 4라운드 34순위,17LG,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/66112.jpg,LG
 김기중,No.15,2002년 11월 16일,투수(좌투좌타),186cm/96kg, 의왕부곡초-매송중-유신고,15000만원,3600만원,21 한화 2차 1라운드 2순위,21한화,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/51715.jpg,한화
 김대우,No.17,1988년 11월 21일,투수(우언우타),183cm/85kg, 역삼초-대치중-서울고-홍익대-히어로즈-상무-히어로즈,2000만원,7000만원,11 넥센 9라운드 67순위,11넥센,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/61365.jpg,삼성
 김대유,No.69,1991년 05월 08일,투수(좌투좌타),187cm/92kg, 부산중앙초-부산중-부산고-히어로즈-SK-KT-LG,6000만원,16000만원,10 넥센 3라운드 18순위,10넥센,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/60337.jpg,KIA
 김도영,No.5,2003년 10월 02일,내야수(우투우타),183cm/85kg, 광주대성초-광주동성중-광주동성고,40000만원,5000만원,22 KIA 1차,22KIA,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/52605.jpg,KIA
 김도환,No.66,2000년 04월 14일,포수(우투우타),178cm/90kg, 언북초(의정부리틀)-영동중-신일고-삼성-상무,11000만원,5000만원,19 삼성 2차 2라운드 12순위,19삼성,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/69442.jpg,삼성
 김동규,No.43,2004년 07월 09일,투수(우투우타),195cm/100kg, 서울청구초-영남중-성남고-LG,13000만원,3000만원,23 LG 2라운드 17순위,23LG,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/53164.jpg,키움
 김동헌,No.44,2004년 07월 15일,포수(우투우타),182cm/91kg, 영문초(영등포구리틀)-충암중-충암고,15000만원,3000만원,23 키움 2라운드 12순위,23키움,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/53344.jpg,키움
 김동혁,No.60,2001년 12월 27일,투수(우언우타),185cm/84kg, (강남구리틀)-영동중-덕수고,8000만원,6500만원,20 키움 2차 3라운드 27순위,20키움,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/50360.jpg,키움
 김명신,No.46,1993년 11월 29일,투수(우투우타),178cm/90kg, 남도초-대구중-경북고-경성대,10000만원,14500만원,17 두산 2차 2라운드 20순위,17두산,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/67246.jpg,두산
 김민,No.11,1999년 04월 14일,투수(우투우타),185cm/88kg, 인천숭의초-평촌중-유신고-KT-상무,30000만원,6000만원,18 KT 1차,18KT,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/68043.jpg,KT
 김민석,No.2,2004년 05월 09일,외야수(우투좌타),185cm/83kg, 신도초-휘문중-휘문고,25000만원,3000만원,23 롯데 1라운드 3순위,23롯데,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/53554.jpg,롯데
 김민성,No.16,1988년 12월 17일,내야수(우투우타),181cm/94kg, 고명초-잠신중-덕수정보고-(영남사이버대)-롯데-히어로즈-키움,10000만원,18000만원,07 롯데 2차 2라운드 13순위,07롯데,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/77564.jpg,LG
 김민식,No.24,1989년 06월 28일,포수(우투좌타),180cm/80kg, 양덕초-마산중-마산고-원광대-SK-상무-SK-KIA,14000만원,15000만원,12 SK 2라운드 11순위,12SK,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/62864.jpg,SSG
