year,팀명,AVG_x,PA,AB,R_x,H_x,2B_x,3B_x,HR_x,TB,RBI,SAC_x,SF_x,BB_x,IBB_x,HBP_x,SO_x,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,ERA,W,L,SV,HLD,WPCT,IP,H_y,HR_y,BB_y,HBP_y,SO_y,R_y,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG_y,2B_y,3B_y,SAC_y,SF_y,IBB_y,WP,BK,E,PKO_x,PO,A,DP,FPCT,PB,SB_x,CS_x,CS%,SBA,SB_y,CS_y,SB%,OOB,PKO_y
2019,SSG,0.262,5542,4919,655,1290,218,14,117,1887,622,35,38,462,20,87,966,92,0.384,0.334,0.718,144,0.278,0.252,3.48,88,55,51,92,0.615,1292,1240,99,436,50,1092,546,500,1.3,0,19,78,8,5463,20930,0.254,176,14,48,44,12,50,4,87,9,3877,1416,131,0.984,3,105,31,22.8,168,118,50,70.2,51,12
2019,한화,0.256,5482,4882,607,1250,223,16,88,1769,562,44,45,441,12,70,1090,112,0.362,0.324,0.686,143,0.255,0.187,4.8,58,86,28,43,0.403,1268,1407,120,526,72,934,737,677,1.52,2,8,48,17,5656,21848,0.283,238,19,44,44,9,66,4,106,8,3806,1488,151,0.98,10,104,49,32.0,156,105,51,67.3,51,6
2019,삼성,0.256,5533,4866,622,1245,230,26,122,1893,598,58,53,478,15,78,976,107,0.389,0.329,0.718,143,0.254,0.204,4.64,60,83,29,60,0.42,1275,1332,125,523,70,924,731,658,1.45,4,8,54,15,5638,21721,0.269,253,37,40,56,9,49,5,105,4,3826,1370,132,0.98,9,90,38,29.7,149,107,42,71.8,45,7
2019,롯데,0.25,5488,4919,578,1231,214,22,90,1759,545,35,40,429,12,65,1085,108,0.358,0.316,0.674,144,0.25,0.193,4.83,48,93,16,47,0.34,1271,1407,120,546,71,1033,764,682,1.54,1,8,47,17,5729,21946,0.282,242,20,58,64,33,103,4,114,8,3813,1432,131,0.979,11,91,44,32.6,96,65,31,67.7,49,8
2020,두산,0.293,5776,5046,816,1477,263,20,125,2155,778,38,73,551,20,68,796,132,0.427,0.365,0.792,142,0.291,0.246,4.31,79,61,23,45,0.564,1285,1395,109,478,61,1046,695,616,1.46,1,13,63,15,5681,22408,0.276,258,25,48,41,22,52,4,85,10,3857,1282,126,0.984,6,91,25,21.6,125,88,37,70.4,63,4
2020,NC,0.291,5833,5102,888,1483,258,28,187,2358,845,46,51,529,21,104,997,106,0.462,0.366,0.828,144,0.33,0.286,4.58,83,55,31,88,0.601,1296,1292,153,547,79,1049,714,660,1.42,0,7,59,19,5690,22362,0.26,199,15,53,35,10,65,7,87,9,3890,1294,120,0.983,10,49,42,46.2,139,101,38,72.7,49,7
2020,KT,0.284,5762,5047,813,1432,238,21,163,2201,767,64,45,554,20,52,1097,104,0.436,0.358,0.794,144,0.289,0.192,4.54,81,62,33,71,0.566,1290,1357,118,523,59,848,715,651,1.46,0,5,56,23,5680,21496,0.271,227,9,45,48,20,75,1,102,4,3871,1486,154,0.981,10,75,21,21.9,156,106,50,67.9,49,6
2020,LG,0.277,5681,4999,802,1384,253,29,149,2142,760,49,49,509,21,75,969,115,0.428,0.349,0.777,144,0.31,0.223,4.37,79,61,29,67,0.564,1292,1344,123,493,86,1019,694,627,1.42,2,13,70,19,5655,21725,0.27,240,17,38,56,12,49,4,80,6,3878,1460,156,0.985,9,89,36,28.8,122,83,39,68.0,64,5
2020,롯데,0.276,5669,4958,750,1366,252,6,131,2023,711,39,48,569,18,55,875,148,0.408,0.353,0.761,144,0.283,0.216,4.64,71,72,25,59,0.497,1277,1351,143,447,58,1002,720,659,1.41,1,16,59,18,5583,21520,0.271,241,17,51,40,25,62,4,94,3,3832,1444,124,0.982,7,95,28,22.8,121,90,31,74.4,52,3
2020,KIA,0.274,5642,4937,724,1355,224,13,130,1995,692,63,38,535,10,69,957,114,0.404,0.351,0.755,144,0.284,0.258,5.13,73,71,33,79,0.507,1270,1399,120,559,70,1038,795,724,1.54,1,5,57,18,5681,22134,0.284,265,34,59,59,8,78,4,100,7,3810,1480,169,0.981,10,82,46,35.9,72,47,25,65.3,47,6
