이름,구단,연도,포지션,WAAwithADJ,이닝,RAAwithADJ,수비율,RNG,E+,CS,BLK,ARM
이호연,롯데,2020,1B,0.028,4.1,0.28,1.0,0.31,0.01,0.0,0.0,0.0
나경민,롯데,2019,CF,0.027,119.2,0.26,1.0,0.79,0.08,0.0,0.0,-0.53
황진수,롯데,2019,3B,0.025,10.1,0.24,1.0,0.19,0.03,0.0,0.0,0.0
나원탁,롯데,2018,C,0.024,57.0,0.26,0.967,0.34,-0.31,-0.19,-0.07,0.0
손성빈,롯데,2021,C,0.022,37.2,0.22,1.0,-0.0,0.06,0.09,-0.25,0.0
오윤석,롯데,2018,3B,0.021,23.0,0.23,1.0,0.13,0.06,0.0,0.0,0.0
추재현,롯데,2021,CF,0.02,586.1,0.2,0.986,0.3,-0.11,0.0,0.0,0.85
최종은,롯데,2021,2B,0.013,1.0,0.13,1.0,0.13,0.0,0.0,0.0,0.0
김강현,롯데,2020,C,0.013,9.0,0.13,1.0,0.0,0.01,0.0,0.04,0.0
이호연,롯데,2021,1B,0.013,12.0,0.12,1.0,0.17,0.03,0.0,0.0,0.0
이석훈,롯데,2019,CF,0.01,6.0,0.1,1.0,0.09,0.0,0.0,0.0,-0.01
지시완,롯데,2020,C,0.009,19.1,0.09,1.0,0.14,0.03,-0.13,-0.12,0.0
김사훈,롯데,2019,C,0.008,6.0,0.08,1.0,0.0,0.01,0.0,0.02,0.0
김동한,롯데,2020,3B,0.007,154.1,0.08,0.95,0.06,-0.17,0.0,0.0,-0.09
김사훈,롯데,2018,C,0.005,233.2,0.06,0.992,-0.78,-0.04,-1.24,-0.1,0.0
김주현,롯데,2021,1B,0.004,11.0,0.04,1.0,0.11,0.02,0.0,0.0,0.0
아수아헤,롯데,2019,2B,-0.004,385.0,-0.04,0.986,-0.97,0.28,0.0,0.0,0.0
스트레일리,롯데,2020,DH,-0.008,194.2,-0.08,0.9,-0.0,-0.21,0.0,0.13,0.0
신용수,롯데,2020,RF,-0.01,17.1,-0.11,1.0,-0.11,0.01,0.0,0.0,0.09
최민재,롯데,2021,LF,-0.012,60.0,-0.12,1.0,0.16,0.03,0.0,0.0,-0.15
김준태,롯데,2019,C,-0.012,236.0,-0.11,0.991,-0.05,-0.09,-0.65,-1.26,0.0
김재유,롯데,2021,CF,-0.016,377.1,-0.16,0.962,-0.85,-0.62,0.0,0.0,0.92
한동희,롯데,2018,3B,-0.02,505.0,-0.22,0.914,-0.2,-0.98,0.0,0.0,0.0
배성근,롯데,2022,2B,-0.023,98.1,-0.22,0.98,-0.5,0.08,0.0,0.0,0.0
김민수,롯데,2022,RF,-0.024,16.0,-0.23,1.0,-0.16,0.01,0.0,0.0,-0.0
박헌도,롯데,2018,LF,-0.027,12.0,-0.3,1.0,-0.25,0.01,0.0,0.0,0.01
이대호,롯데,2022,1B,-0.03,63.0,-0.29,1.0,0.11,0.12,0.0,0.0,0.0
허일,롯데,2019,CF,-0.033,162.2,-0.32,0.977,-0.21,-0.08,0.0,0.0,0.2
김세민,롯데,2022,2B,-0.034,13.0,-0.33,1.0,-0.41,0.04,0.0,0.0,0.0
이병규,롯데,2021,1B,-0.035,17.0,-0.35,1.0,-0.24,0.03,0.0,0.0,0.0
정준혁,롯데,2019,LF,-0.046,24.0,-0.45,1.0,-0.28,0.01,0.0,0.0,-0.06
문규현,롯데,2019,3B,-0.051,153.0,-0.49,0.963,-0.56,-0.17,0.0,0.0,0.0
강로한,롯데,2020,CF,-0.055,49.0,-0.58,0.889,-0.34,-0.18,0.0,0.0,-0.05
추재현,롯데,2020,CF,-0.061,48.1,-0.64,1.0,-0.24,0.03,0.0,0.0,-0.39
