이름,구단,연도,포지션,WAAwithADJ,이닝,RAAwithADJ,수비율,RNG,E+,CS,BLK,ARM
이창진,KIA,2019,CF,-0.068,1017.1,-0.66,0.984,-2.11,-0.27,0.0,0.0,0.02
김규성,KIA,2021,2B,-0.068,140.2,-0.68,0.95,-0.78,-0.35,0.0,0.0,0.0
최정용,KIA,2020,2B,-0.068,127.1,-0.72,0.971,-0.87,-0.08,0.0,0.0,0.0
오준혁,KIA,2018,LF,-0.074,38.1,-0.83,1.0,-0.79,0.03,0.0,0.0,0.06
김선빈,KIA,2018,SS,-0.081,962.0,-0.9,0.974,-7.13,0.69,0.0,0.0,0.0
이진영,KIA,2020,RF,-0.081,33.0,-0.86,0.929,0.51,-0.18,0.0,0.0,-1.01
최정민,KIA,2020,2B,-0.085,17.1,-0.9,0.857,-0.76,-0.16,0.0,0.0,0.0
김주찬,KIA,2020,1B,-0.086,38.0,-0.92,1.0,-0.63,0.06,0.0,0.0,0.0
이우성,KIA,2021,LF,-0.089,257.2,-0.89,0.984,0.52,-0.08,0.0,0.0,-0.0
김규성,KIA,2022,2B,-0.095,172.2,-0.92,0.978,-0.95,0.06,0.0,0.0,0.0
이우성,KIA,2019,LF,-0.1,151.2,-0.96,0.971,0.35,-0.12,0.0,0.0,-0.59
황윤호,KIA,2021,3B,-0.102,41.1,-1.02,0.833,-0.81,-0.28,0.0,0.0,0.0
나주환,KIA,2020,3B,-0.108,500.0,-1.15,0.944,-1.63,-0.29,0.0,0.0,0.0
오선우,KIA,2020,RF,-0.116,111.0,-1.23,1.0,-1.07,0.07,0.0,0.0,0.38
황대인,KIA,2020,1B,-0.128,260.1,-1.36,0.987,1.4,-0.39,0.0,0.0,0.0
김석환,KIA,2022,LF,-0.132,204.2,-1.26,1.0,0.54,0.17,0.0,0.0,-0.86
이창진,KIA,2022,LF,-0.148,776.2,-1.44,1.0,1.27,0.51,0.0,0.0,0.43
정성훈,KIA,2018,1B,-0.148,308.0,-1.66,0.973,0.79,-0.59,0.0,0.0,0.0
류승현,KIA,2018,3B,-0.154,156.2,-1.73,0.918,-1.67,-0.36,0.0,0.0,0.0
이명기,KIA,2019,RF,-0.156,594.0,-1.53,0.994,4.51,0.23,0.0,0.0,-3.8
고종욱,KIA,2022,LF,-0.162,28.0,-1.58,1.0,-1.33,0.02,0.0,0.0,-0.12
김석환,KIA,2021,1B,-0.195,35.0,-2.01,0.951,-1.37,-0.33,0.0,0.0,0.0
유재신,KIA,2019,LF,-0.2,155.2,-1.93,0.977,0.03,-0.1,0.0,0.0,-1.18
이우성,KIA,2020,LF,-0.202,101.0,-2.13,1.0,-1.34,0.06,0.0,0.0,-0.43
홍재호,KIA,2018,2B,-0.202,209.2,-2.26,0.955,-2.34,-0.24,0.0,0.0,0.0
김호령,KIA,2020,CF,-0.205,361.2,-2.17,0.979,-4.29,-0.22,0.0,0.0,1.69
고영우,KIA,2019,3B,-0.206,94.1,-1.99,0.879,-1.43,-0.55,0.0,0.0,0.0
유민상,KIA,2021,1B,-0.218,118.0,-2.2,1.0,-1.4,0.22,0.0,0.0,0.0
김태진,KIA,2020,3B,-0.22,401.0,-2.29,0.95,-2.84,-0.17,0.0,0.0,0.0
문선재,KIA,2019,LF,-0.224,133.1,-2.17,0.962,-1.05,-0.27,0.0,0.0,-0.03
최원준,KIA,2019,3B,-0.235,501.0,-2.25,0.96,-2.6,-0.14,0.0,0.0,0.44
최정민,KIA,2018,2B,-0.258,216.2,-2.88,0.965,-2.55,-0.22,0.0,0.0,-0.51
이창진,KIA,2020,CF,-0.26,178.2,-2.82,1.0,-4.08,0.09,0.0,0.0,0.85
장영석,KIA,2020,3B,-0.269,84.0,-2.83,0.93,-2.32,-0.38,0.0,0.0,0.0
박준태,KIA,2018,RF,-0.283,337.2,-3.16,0.98,0.21,-0.19,0.0,0.0,-1.62
김선빈,KIA,2021,2B,-0.285,1017.2,-2.89,0.987,-5.92,1.26,0.0,0.0,0.0
류지혁,KIA,2021,3B,-0.336,672.2,-3.39,0.981,-1.43,0.11,0.0,0.0,0.0
나지완,KIA,2019,LF,-0.339,78.0,-3.29,1.0,-1.88,0.04,0.0,0.0,-1.07
유재신,KIA,2018,LF,-0.369,125.2,-4.17,0.971,-2.97,-0.11,0.0,0.0,-0.66
최원준,KIA,2018,SS,-0.383,679.2,-4.26,0.958,-3.09,-1.3,0.0,0.0,0.14
류승현,KIA,2019,1B,-0.384,309.2,-3.71,0.996,-2.6,0.41,0.0,0.0,0.0
유민상,KIA,2019,1B,-0.463,285.0,-4.54,0.99,-2.05,-0.09,0.0,0.0,0.0
나지완,KIA,2021,LF,-0.489,176.0,-4.9,1.0,-3.43,0.08,0.0,0.0,-0.64
안치홍,KIA,2018,2B,-0.512,939.2,-5.83,0.985,-7.65,0.83,0.0,0.0,0.0
이우성,KIA,2022,LF,-0.569,280.0,-5.53,0.968,-3.33,-0.2,0.0,0.0,-0.66
김주찬,KIA,2019,1B,-0.611,604.1,-5.92,0.989,-2.39,-0.2,0.0,0.0,1.48
황대인,KIA,2021,1B,-0.612,546.0,-6.13,0.994,-1.87,0.43,0.0,0.0,0.0
버나디나,KIA,2018,CF,-0.671,1074.2,-7.61,0.985,-8.82,-0.22,0.0,0.0,-0.29
나성범,KIA,2022,RF,-0.791,1131.2,-7.85,0.987,0.2,0.32,0.0,0.0,-2.59
터커,KIA,2019,RF,-0.934,768.0,-9.24,0.977,-3.09,-0.28,0.0,0.0,-1.95
최원준,KIA,2020,CF,-0.954,796.0,-10.24,0.982,-9.44,-0.39,0.0,0.0,-1.25
터커,KIA,2021,LF,-0.98,990.1,-9.83,0.992,-2.02,0.21,0.0,0.0,-2.07
최형우,KIA,2018,LF,-1.007,840.2,-11.48,0.98,-4.23,-0.12,0.0,0.0,-2.21
안치홍,KIA,2019,2B,-1.027,805.1,-10.12,0.977,-10.31,-0.4,0.0,0.0,0.0
최원준,KIA,2021,RF,-1.057,1244.0,-10.71,0.979,-2.39,-0.59,0.0,0.0,-1.81
김주찬,KIA,2018,1B,-1.11,827.0,-12.57,0.996,-4.96,0.68,0.0,0.0,-0.48
유민상,KIA,2020,1B,-1.14,932.0,-12.09,0.99,-3.29,-0.33,0.0,0.0,0.0
황대인,KIA,2022,1B,-1.171,1041.1,-11.33,0.993,-3.28,0.59,0.0,0.0,0.0
나지완,KIA,2020,LF,-1.378,1018.2,-14.81,0.995,-6.28,0.37,0.0,0.0,-3.27
터커,KIA,2020,RF,-2.039,1180.0,-22.24,0.996,-10.58,0.5,0.0,0.0,-5.55
심우준,kt,2019,SS,1.247,1039.0,12.01,0.98,6.02,1.05,0.0,0.0,0.0
황재균,kt,2019,3B,1.093,1026.2,10.66,0.97,8.11,0.73,0.0,0.0,0.0
박경수,kt,2019,2B,0.946,983.2,9.14,0.984,7.06,0.45,0.0,0.0,0.0
심우준,kt,2020,SS,0.919,1157.0,9.59,0.969,4.1,-0.73,0.0,0.0,0.0
심우준,kt,2022,SS,0.889,1048.1,8.53,0.97,2.4,0.96,0.0,0.0,0.0
배정대,kt,2020,CF,0.803,1221.1,8.53,0.987,1.58,-0.41,0.0,0.0,5.13
심우준,kt,2021,SS,0.792,1066.0,7.93,0.966,2.15,0.29,0.0,0.0,0.0
장성우,kt,2020,C,0.782,952.0,8.28,0.996,-0.65,0.75,-0.89,0.43,0.0
배정대,kt,2021,CF,0.757,1189.1,7.61,0.991,3.56,-0.04,0.0,0.0,2.04
장성우,kt,2019,C,0.738,911.2,7.11,0.993,-0.76,0.2,0.08,0.06,0.0
박경수,kt,2020,2B,0.722,746.1,7.67,0.983,6.19,0.13,0.0,0.0,0.0
심우준,kt,2018,SS,0.671,921.0,7.41,0.974,2.35,0.31,0.0,0.0,0.0
장성우,kt,2022,C,0.631,763.2,6.15,0.99,-1.4,-0.28,-0.13,1.59,0.0
장성우,kt,2021,C,0.594,813.1,5.95,0.991,0.13,-0.19,-1.38,0.4,0.0
송민섭,kt,2021,RF,0.562,245.0,5.64,1.0,4.13,0.14,0.0,0.0,2.42
홍현빈,kt,2022,RF,0.525,253.2,5.01,0.985,5.84,-0.01,0.0,0.0,0.16
로하스,kt,2018,CF,0.485,1210.1,5.49,0.989,-0.1,0.07,0.0,0.0,3.81
장성우,kt,2018,C,0.468,896.2,5.19,0.989,-1.51,-0.42,-0.55,-0.86,0.0
김준태,kt,2022,C,0.463,504.2,4.49,0.995,0.63,0.34,-0.29,-0.38,0.0
박경수,kt,2021,2B,0.445,522.0,4.44,0.99,2.78,0.76,0.0,0.0,0.0
송민섭,kt,2020,LF,0.441,217.0,4.66,1.0,1.73,0.12,0.0,0.0,3.71
오윤석,kt,2021,2B,0.422,292.2,4.22,1.0,3.83,0.71,0.0,0.0,0.0
송민섭,kt,2019,RF,0.416,183.0,4.02,1.0,3.75,0.12,0.0,0.0,0.79
박기혁,kt,2018,SS,0.392,492.2,4.32,0.985,1.32,0.71,0.0,0.0,0.0
신본기,kt,2021,2B,0.371,480.2,3.7,0.98,2.08,0.62,0.0,0.0,0.0
황재균,kt,2022,3B,0.35,1154.2,3.38,0.961,0.51,1.02,0.0,0.0,0.0
호잉,kt,2021,RF,0.349,580.0,3.48,0.978,5.2,-0.22,0.0,0.0,1.29
허도환,kt,2021,C,0.334,290.1,3.33,0.996,0.69,0.23,-0.3,0.23,0.0
이해창,kt,2018,C,0.313,351.2,3.46,0.994,0.07,0.14,-0.07,-0.01,0.0
신본기,kt,2022,SS,0.298,335.1,2.84,0.993,0.9,0.91,0.0,0.0,0.0
장준원,kt,2022,2B,0.298,151.2,2.86,1.0,2.02,0.47,0.0,0.0,0.0
박경수,kt,2022,2B,0.296,413.1,2.82,0.971,2.44,-0.3,0.0,0.0,0.0
박경수,kt,2018,2B,0.212,1016.0,2.37,0.979,0.51,-0.09,0.0,0.0,0.0
배정대,kt,2019,DH,0.199,213.1,1.89,0.985,1.61,-0.07,0.0,0.0,0.43
황재균,kt,2020,3B,0.197,1125.0,2.12,0.962,-0.66,0.83,0.0,0.0,0.0
배정대,kt,2022,CF,0.182,1195.2,1.76,0.991,-2.29,0.18,0.0,0.0,1.89
박승욱,kt,2019,1B,0.175,512.0,1.67,0.987,3.15,0.1,0.0,0.0,0.0
김민혁,kt,2022,LF,0.174,459.0,1.67,1.0,2.82,0.3,0.0,0.0,0.81
이홍구,kt,2021,C,0.149,142.0,1.48,1.0,-0.0,0.21,0.16,-0.1,0.0
홍현빈,kt,2018,LF,0.123,42.0,1.36,1.0,1.36,0.03,0.0,0.0,0.17
고명성,kt,2019,SS,0.12,59.0,1.15,0.939,1.16,-0.23,0.0,0.0,0.0
이창진,kt,2018,LF,0.103,69.2,1.14,1.0,1.96,0.05,0.0,0.0,-0.48
하준호,kt,2018,LF,0.1,60.0,1.09,1.0,0.31,0.04,0.0,0.0,1.06
이해창,kt,2019,C,0.1,103.1,0.95,0.987,0.01,-0.06,0.49,-0.33,0.0
오윤석,kt,2022,2B,0.087,752.1,0.84,0.98,1.19,-0.11,0.0,0.0,0.0
오태곤,kt,2020,LF,0.086,95.2,0.91,1.0,0.5,0.05,0.0,0.0,0.87
김병희,kt,2020,3B,0.085,61.1,0.9,0.966,1.0,-0.04,0.0,0.0,0.0
김진곤,kt,2019,LF,0.085,50.1,0.81,1.0,1.04,0.03,0.0,0.0,-0.13
문상철,kt,2020,1B,0.085,235.1,0.89,0.994,2.93,0.08,0.0,0.0,-0.31
이준수,kt,2019,C,0.08,140.2,0.77,0.981,-0.07,-0.22,-0.06,-0.04,0.0
홍현빈,kt,2021,LF,0.076,54.2,0.76,1.0,0.64,0.03,0.0,0.0,0.38
권동진,kt,2022,2B,0.07,110.2,0.67,0.986,0.24,0.14,0.0,0.0,0.0
김영환,kt,2020,2B,0.06,21.2,0.64,1.0,0.55,0.05,0.0,0.0,0.0
배정대,kt,2018,RF,0.044,27.2,0.49,1.0,0.82,0.02,0.0,0.0,-0.2
홍현빈,kt,2020,LF,0.043,79.0,0.45,1.0,1.23,0.04,0.0,0.0,-0.56
허도환,kt,2020,C,0.043,151.1,0.45,0.974,-0.03,-0.38,-0.08,-0.42,0.0
강민국,kt,2021,2B,0.042,108.0,0.41,0.986,0.15,0.08,0.0,0.0,0.0
박민석,kt,2019,SS,0.041,3.0,0.39,1.0,0.37,0.01,0.0,0.0,0.0
이대형,kt,2019,CF,0.035,6.0,0.34,1.0,0.4,0.0,0.0,0.0,-0.06
안승한,kt,2019,C,0.035,119.0,0.33,0.979,-0.34,-0.24,-0.06,0.0,0.0
송민섭,kt,2022,RF,0.031,225.0,0.29,0.983,1.16,-0.03,0.0,0.0,0.1
오승택,kt,2019,1B,0.031,404.0,0.3,0.987,4.21,-0.29,0.0,0.0,-0.34
고명성,kt,2021,SS,0.03,6.2,0.3,1.0,0.25,0.02,0.0,0.0,0.0
김병희,kt,2019,3B,0.026,16.0,0.24,1.0,0.17,0.05,0.0,0.0,0.0
문상인,kt,2022,C,0.022,13.2,0.21,1.0,0.0,0.02,0.08,-0.01,0.0
김태훈,kt,2022,1B,0.02,20.0,0.18,1.0,0.18,0.04,0.0,0.0,0.12
김준태,kt,2021,C,0.011,16.0,0.11,0.941,-0.0,-0.18,0.15,-0.0,0.0
유준규,kt,2022,2B,0.008,4.0,0.08,1.0,0.05,0.01,0.0,0.0,0.0
고명성,kt,2018,SS,0.007,6.0,0.07,1.0,0.03,0.02,0.0,0.0,0.0
문상인,kt,2020,C,0.003,7.0,0.04,1.0,0.0,0.01,0.0,-0.04,0.0
고명성,kt,2022,2B,0.003,1.0,0.03,1.0,0.02,0.0,0.0,0.0,0.0
조대현,kt,2022,C,0.001,5.1,0.01,1.0,0.0,0.01,-0.06,0.02,0.0
권동진,kt,2021,SS,0.0,240.0,0.0,0.939,-0.09,-0.8,0.0,0.0,0.0
이준수,kt,2018,C,0.0,26.0,0.0,1.0,0.0,0.04,-0.14,-0.14,0.0
강현우,kt,2020,C,-0.005,81.1,-0.05,0.984,-0.04,-0.08,-0.02,-0.65,0.0
이홍구,kt,2020,C,-0.011,98.2,-0.12,0.985,0.0,-0.06,-0.78,-0.18,0.0
조용호,kt,2020,LF,-0.014,720.1,-0.14,0.994,2.77,0.21,0.0,0.0,0.79
조용호,kt,2022,RF,-0.016,986.2,-0.16,1.0,3.13,0.75,0.0,0.0,0.89
김동명,kt,2018,RF,-0.021,24.1,-0.23,1.0,0.04,0.02,0.0,0.0,-0.15
남태혁,kt,2018,1B,-0.023,6.0,-0.25,1.0,-0.2,0.01,0.0,0.0,0.0
박준혁,kt,2020,RF,-0.023,12.0,-0.25,1.0,0.05,0.01,0.0,0.0,-0.24
정주후,kt,2020,2B,-0.025,7.0,-0.26,0.667,-0.09,-0.18,0.0,0.0,0.0
오정복,kt,2018,LF,-0.025,2.0,-0.27,1.0,-0.26,0.0,0.0,0.0,-0.0
송민섭,kt,2018,LF,-0.026,100.2,-0.29,0.952,0.17,-0.13,0.0,0.0,0.21
김건형,kt,2021,RF,-0.026,85.0,-0.26,1.0,-0.74,0.06,0.0,0.0,0.86
강백호,kt,2022,1B,-0.027,111.0,-0.26,0.98,0.85,-0.19,0.0,0.0,0.0
양승혁,kt,2022,2B,-0.031,15.0,-0.3,0.857,-0.17,-0.16,0.0,0.0,0.0
문상준,kt,2022,SS,-0.036,8.0,-0.35,1.0,-0.41,0.03,0.0,0.0,0.0
문상철,kt,2019,1B,-0.046,104.1,-0.45,0.965,1.03,-0.61,0.0,0.0,0.0
안치영,kt,2019,3B,-0.052,13.0,-0.51,1.0,-0.56,0.03,0.0,0.0,0.0
정현,kt,2019,2B,-0.054,21.0,-0.52,1.0,-0.62,0.06,0.0,0.0,0.0
김진곤,kt,2018,RF,-0.059,42.0,-0.66,1.0,-0.28,0.03,0.0,0.0,-0.21
천성호,kt,2021,1B,-0.06,90.1,-0.6,0.944,0.01,-0.38,0.0,0.0,0.0
오준혁,kt,2018,LF,-0.063,58.0,-0.69,0.941,-0.69,-0.16,0.0,0.0,0.49
문상철,kt,2021,1B,-0.073,69.2,-0.73,1.0,-0.28,0.13,0.0,0.0,-0.01
김영환,kt,2019,2B,-0.076,28.0,-0.73,1.0,-0.87,0.07,0.0,0.0,0.0
박병호,kt,2022,1B,-0.078,873.0,-0.77,0.993,6.29,0.27,0.0,0.0,0.0
김민혁,kt,2021,LF,-0.079,243.0,-0.79,0.982,1.82,-0.09,0.0,0.0,-1.29
문상철,kt,2022,1B,-0.082,41.0,-0.79,1.0,-0.56,0.08,0.0,0.0,0.02
황재균,kt,2018,3B,-0.084,1132.1,-0.95,0.959,-1.75,-0.32,0.0,0.0,0.0
김병희,kt,2021,3B,-0.091,150.2,-0.93,0.915,-0.61,-0.56,0.0,0.0,0.0
천성호,kt,2020,2B,-0.112,182.1,-1.18,0.965,-1.42,-0.12,0.0,0.0,0.0
박승욱,kt,2021,2B,-0.121,14.0,-1.24,0.8,-0.88,-0.36,0.0,0.0,0.0
유한준,kt,2021,RF,-0.121,84.1,-1.23,1.0,-0.48,0.06,0.0,0.0,-0.37
로하스,kt,2019,CF,-0.148,1086.2,-1.46,0.98,-1.19,-0.55,0.0,0.0,0.76
이시원,kt,2022,RF,-0.154,58.0,-1.49,1.0,-1.37,0.04,0.0,0.0,0.11
김병희,kt,2022,1B,-0.177,113.0,-1.7,0.976,-0.92,-0.15,0.0,0.0,0.0
유한준,kt,2020,RF,-0.178,129.2,-1.89,1.0,-1.32,0.08,0.0,0.0,0.06
라모스,kt,2022,RF,-0.187,157.0,-1.81,0.933,-1.36,-0.27,0.0,0.0,0.61
오태곤,kt,2018,LF,-0.19,763.0,-2.11,0.995,2.96,0.35,0.0,0.0,-0.48
전민수,kt,2018,LF,-0.193,59.1,-2.14,1.0,-1.55,0.05,0.0,0.0,-0.3
김민혁,kt,2020,LF,-0.218,399.0,-2.3,0.962,1.37,-0.58,0.0,0.0,-0.96
강민국,kt,2020,2B,-0.22,315.2,-2.32,0.966,-3.07,-0.15,0.0,0.0,0.0
김사연,kt,2018,RF,-0.22,103.0,-2.46,0.95,-1.89,-0.28,0.0,0.0,0.02
김민혁,kt,2019,LF,-0.242,902.0,-2.33,0.982,4.91,-0.31,0.0,0.0,-3.71
이진영,kt,2018,RF,-0.265,271.0,-2.96,1.0,-1.14,0.17,0.0,0.0,-0.43
조용호,kt,2019,RF,-0.265,328.0,-2.57,1.0,-0.76,0.23,0.0,0.0,-1.04
로하스,kt,2020,RF,-0.267,890.0,-2.92,0.983,2.78,-0.27,0.0,0.0,-0.42
알몬테,kt,2021,LF,-0.272,241.0,-2.74,0.964,-0.89,-0.29,0.0,0.0,-0.32
김태훈,kt,2021,RF,-0.286,118.0,-2.86,1.0,-2.27,0.08,0.0,0.0,-0.04
윤석민,kt,2019,1B,-0.306,308.2,-2.93,0.978,-1.36,-0.31,0.0,0.0,0.0
오태곤,kt,2019,DH,-0.316,389.2,-3.04,0.99,0.1,-0.15,0.0,0.0,0.0
황재균,kt,2021,3B,-0.362,940.1,-3.67,0.939,-5.01,-0.28,0.0,0.0,0.0
박승욱,kt,2020,2B,-0.396,333.2,-4.21,0.969,-3.72,-0.64,0.0,0.0,0.0
강백호,kt,2019,RF,-0.418,622.2,-4.15,0.98,-1.9,-0.1,0.0,0.01,0.82
정현,kt,2018,SS,-0.423,271.2,-4.72,0.943,-4.88,-0.81,0.0,0.0,0.0
조용호,kt,2021,LF,-0.433,918.2,-4.32,1.0,-4.95,0.48,0.0,0.0,4.8
강민국,kt,2019,SS,-0.433,245.2,-4.21,0.936,-4.14,-1.07,0.0,0.0,0.0
유한준,kt,2019,RF,-0.499,388.2,-4.91,0.977,-3.89,-0.09,0.0,0.0,1.04
강백호,kt,2020,1B,-0.649,1081.0,-7.01,0.991,3.31,-0.31,0.0,0.0,-0.06
강백호,kt,2018,LF,-0.939,539.1,-10.58,0.952,-8.04,-0.76,0.0,0.0,1.35
유한준,kt,2018,RF,-0.941,700.2,-10.7,1.0,-7.52,0.42,0.0,0.0,-0.21
알포드,kt,2022,LF,-0.963,522.0,-9.51,0.958,-5.89,-0.45,0.0,0.0,-0.66
윤석민,kt,2018,1B,-1.158,997.0,-12.94,0.993,-4.12,0.25,0.0,0.0,0.0
강백호,kt,2021,1B,-1.53,1099.2,-15.83,0.984,-3.86,-1.77,0.0,-0.13,-0.44
