이름,구단,연도,포지션,WAR*,타율,OPS,wRC+,WPA,타점율,삼진율,볼삼비,순도루성공,병살율
민병헌,롯데,18,CF,3.05,0.318,0.855,113.1,1.13,0.148984199,0.153498871,0.513950073,5,0.0225733634
손아섭,롯데,19,RF,2.75,0.295,0.76,113.9,1.7,0.123046875,0.1796875,0.564603692,4,0.01171875
정훈,롯데,20,CF,2.68,0.295,0.809,115.9,1.87,0.141463415,0.207317073,0.658049354,10,0.0195121951
번즈,롯데,18,2B,2.67,0.268,0.842,103.2,0.17,0.138528139,0.287878788,0.247933884,3,0.0173160173
마차도,롯데,21,SS,2.55,0.279,0.719,98.3,-0.66,0.124463519,0.139484979,0.89093702,3,0.017167382
한동희,롯데,20,3B,2.47,0.278,0.797,108.6,0.4,0.145336226,0.210412148,0.587023687,-3,0.032537961
정훈,롯데,21,1B,2.46,0.292,0.819,121.9,0.83,0.16255144,0.183127572,0.76318743,7,0.012345679
렉스,롯데,22,CF,2.3,0.33,0.906,156.3,1.32,0.155963303,0.201834862,0.589569161,3,0.0183486239
안치홍,롯데,20,2B,2.01,0.286,0.764,99.1,-0.2,0.131067961,0.11407767,0.743099788,11,0.0266990291
고승민,롯데,22,RF,1.95,0.316,0.834,134.4,1.34,0.128205128,0.200854701,0.530785563,-3,0.0256410256
이병규,롯데,18,DH,1.91,0.273,0.922,137,2.36,0.196969697,0.292929293,0.860585198,0,0.0252525253
신본기,롯데,18,SS,1.87,0.294,0.799,98.4,0.62,0.167058824,0.223529412,0.347003155,-4,0.0282352941
이대호,롯데,19,DH,1.79,0.285,0.79,118.3,0.94,0.181443299,0.134020619,0.737327189,0,0.0391752577
윌슨,롯데,19,3B,1.35,0.251,0.784,118.4,0.73,0.16017316,0.25974026,0.515806988,-2,0.0346320346
오윤석,롯데,20,2B,1.31,0.298,0.81,117,0.44,0.19047619,0.279761905,0.50955414,1,0.0119047619
황성빈,롯데,22,CF,1.23,0.294,0.707,95.3,-0.39,0.05,0.171875,0.399274047,-2,0.00625
피터스,롯데,22,CF,1.18,0.228,0.701,93.7,1.09,0.151898734,0.243670886,0.337224384,3,0.0158227848
이대호,롯데,21,DH,1.1,0.286,0.79,111.3,1.44,0.192857143,0.119047619,0.678642715,0,0.0285714286
지시완,롯데,21,C,1.04,0.241,0.741,96.8,0.01,0.156626506,0.325301205,0.258780037,0,0.0361445783
전병우,롯데,18,3B,1.02,0.364,1.048,163.5,0.75,0.196969697,0.363636364,0.373443983,3,0.0151515152
이대호,롯데,20,DH,1.02,0.292,0.806,106.1,3.56,0.20295203,0.125461255,0.778267254,1,0.0387453875
이병규,롯데,20,1B,0.97,0.274,0.845,123.9,0.91,0.195121951,0.335365854,0.508166969,0,0.0304878049
김준태,롯데,20,C,0.95,0.225,0.671,81.7,0.11,0.140522876,0.209150327,0.873634945,0,0.0163398693
아수아헤,롯데,19,2B,0.94,0.252,0.724,102.2,0.63,0.128834356,0.147239264,1.078838174,1,0
안중열,롯데,21,C,0.92,0.232,0.714,98.7,0.36,0.128,0.2,1.075697211,0,0.008
정훈,롯데,18,1B,0.91,0.305,0.855,110.7,-0.31,0.149425287,0.224137931,0.409207161,2,0.0229885057
채태인,롯데,18,1B,0.9,0.293,0.816,101.8,1.62,0.199468085,0.284574468,0.317460317,0,0.0265957447
김재유,롯데,21,CF,0.76,0.287,0.691,87.4,0.46,0.103448276,0.206896552,0.27700831,7,0.00574712644
강로한,롯데,19,2B,0.74,0.24,0.654,77.1,-0.08,0.0868055556,0.371527778,0.121381886,6,0.0104166667
추재현,롯데,21,CF,0.64,0.252,0.702,90.1,-0.53,0.0992366412,0.217557252,0.455341506,1,0.0114503817
신본기,롯데,19,SS,0.6,0.256,0.602,68.5,-1.68,0.0693333333,0.165333333,0.38647343,0,0.024
강태율,롯데,20,C,0.55,0.455,1.667,305.7,0.03,0.181818182,0.181818182,3.333333333,0,0.0909090909
안중열,롯데,18,C,0.49,0.247,0.71,68.4,-0.41,0.116883117,0.363636364,0.213903743,0,0.025974026
문규현,롯데,18,SS,0.48,0.275,0.708,68.4,-1.41,0.129746835,0.142405063,0.399113082,2,0.0284810127
지시완,롯데,22,C,0.48,0.213,0.604,68.3,-0.31,0.0977011494,0.316091954,0.362976407,0,0.0402298851
김준태,롯데,21,C,0.32,0.207,0.673,82.6,-0.19,0.135135135,0.315315315,0.484330484,0,0.018018018
나경민,롯데,18,CF,0.3,0.263,0.698,92.2,-0.22,0.0175438596,0.368421053,0.473933649,8,0
신용수,롯데,22,RF,0.3,0.235,0.729,97.8,0.19,0.102941176,0.220588235,0.264900662,2,0
김재유,롯데,20,CF,0.28,0.259,0.637,74.4,0.16,0.0775862069,0.301724138,0.341880342,8,0.0172413793
오윤석,롯데,21,2B,0.27,0.232,0.723,87.6,-0.88,0.0724637681,0.304347826,0.331753555,2,0.0289855072
채태인,롯데,19,1B,0.25,0.252,0.709,91.5,-0.44,0.173652695,0.269461078,0.243902439,0,0.0299401198
김동한,롯데,19,2B,0.23,0.282,0.667,86.6,-0.29,0.0256410256,0.192307692,0.397350993,1,0.0128205128
신용수,롯데,21,CF,0.21,0.261,0.697,88.6,-0.63,0.0504201681,0.168067227,0.547263682,2,0.0168067227
손성빈,롯데,21,C,0.17,0.316,0.725,113.2,-0.12,0,0.315789474,0.491803279,0,0
김민수,롯데,21,2B,0.15,0.241,0.664,77.8,-1.37,0.125628141,0.311557789,0.289855072,0,0.0201005025
이병규,롯데,21,,0.14,0.235,0.631,94.4,-0.01,0.117647059,0.411764706,0.567375887,0,0.0588235294
장두성,롯데,21,CF,0.13,0.222,0.65,78.4,-0.17,0.111111111,0.333333333,0.41322314,2,0
허일,롯데,19,CF,0.11,0.255,0.617,74.9,0.12,0.11409396,0.187919463,0.427046263,1,0.0067114094
지시완,롯데,20,C,0.09,0.25,0.705,117.8,0.16,0.25,0.5,0.731707317,0,0
고승민,롯데,19,2B,0.08,0.253,0.658,76.3,-0.33,0.0722891566,0.192771084,0.248447205,0,0.0120481928
허일,롯데,18,RF,0.06,0.357,0.757,103.6,-0.2,0,0.142857143,0.476190476,0,0
김민수,롯데,20,3B,0.04,0.25,0.65,93.9,0.08,0,0.5,0.487804878,1,0
신본기,롯데,20,3B,0.04,0.217,0.595,60.7,-0.3,0.113207547,0.20754717,0.633484163,1,0.0283018868
김민수,롯데,22,3B,0.04,0.257,0.62,73.7,0.23,0.0785714286,0.342857143,0.187110187,-1,0.0142857143
정보근,롯데,21,C,0.04,0.278,0.628,80.9,-0.28,0,0.111111111,0.952380952,-1,0.0555555556
배성근,롯데,21,SS,0.03,0.204,0.588,61.5,-0.18,0.0967741935,0.387096774,0.387811634,1,0.0107526882
강로한,롯데,20,CF,0.02,0.19,0.537,62.5,0.17,0.0476190476,0.285714286,0.655737705,1,0
안중열,롯데,22,C,0.01,0.155,0.525,55.7,-0.51,0.0281690141,0.267605634,0.57591623,-1,0.0281690141
김민수,롯데,19,3B,0,0.235,0.621,74.5,-0.28,0.0294117647,0.411764706,0.0709219858,0,0.0588235294
김문호,롯데,18,LF,-0.03,0.25,0.716,76.3,0.44,0.16,0.27,0.479704797,1,0.02
정준혁,롯데,19,LF,-0.03,0.273,0.546,49.2,-0.03,0.0909090909,0.545454545,0,0,0
이호연,롯데,21,,-0.05,0.222,0.495,33.3,-0.49,0.111111111,0.111111111,0.909090909,0,0.111111111
정훈,롯데,19,1B,-0.06,0.226,0.614,73.4,-0.59,0.0894736842,0.247368421,0.488322718,1,0.0210526316
김주현,롯데,21,DH,-0.06,0.25,0.544,51.5,-0.34,0,0.375,0.163934426,0,0
김문호,롯데,19,CF,-0.07,0.243,0.579,55.1,-1.1,0.0388349515,0.291262136,0.132890365,2,0.00970873786
나경민,롯데,19,CF,-0.07,0.2,0.554,54.5,0.44,0.155555556,0.266666667,0.247933884,2,0
배성근,롯데,19,2B,-0.08,0.205,0.498,40.3,0.06,0.0454545455,0.295454545,0.305343511,1,0
황진수,롯데,18,3B,-0.09,0.167,0.564,30.9,-0.13,0.0416666667,0.208333333,0.392156863,1,0
이병규,롯데,19,DH,-0.11,0.158,0.536,52.5,-0.27,0,0.368421053,0.281690141,0,0.0526315789
장두성,롯데,22,CF,-0.11,0.174,0.495,54.4,-0.32,0,0.47826087,0.45045045,3,0
박승욱,롯데,22,SS,-0.13,0.227,0.59,55.6,-0.61,0.0808080808,0.348484848,0.23154848,6,0.00505050505
윤동희,롯데,22,1B,-0.14,0.154,0.385,-7.5,-0.25,0.0769230769,0.153846154,0,0,0.0769230769
추재현,롯데,22,RF,-0.14,0.224,0.611,75.8,-0.53,0.0862068966,0.293103448,0.409356725,1,0.0172413793
오윤석,롯데,18,3B,-0.15,0.167,0.397,-0.8,-0.25,0,0.416666667,0.196078431,0,0.0833333333
이호연,롯데,22,3B,-0.16,0.244,0.621,67.7,-1.79,0.0780487805,0.185365854,0.288713911,2,0.0243902439
강로한,롯데,21,CF,-0.17,0.121,0.475,15.3,0.06,0.121212121,0.545454545,0.110497238,0,0
민병헌,롯데,21,CF,-0.18,0.19,0.554,50.2,-0.2,0.0476190476,0.261904762,0.540540541,-1,0.0476190476
안중열,롯데,19,C,-0.19,0.191,0.53,40.6,-1.69,0.0294117647,0.301470588,0.145985401,-1,0.0147058824
신용수,롯데,19,SS,-0.19,0.1,0.35,-25.6,-0.24,0.1,0.2,0,0,0
강태율,롯데,21,C,-0.2,0.077,0.424,7.9,-0.52,0.192307692,0.384615385,0.396039604,-1,0.0384615385
한동희,롯데,18,3B,-0.2,0.232,0.639,55.3,-1.63,0.118483412,0.274881517,0.206540448,-1,0.0331753555
나승엽,롯데,21,1B,-0.21,0.204,0.563,55.7,-0.56,0.0884955752,0.292035398,0.422960725,1,0.00884955752
추재현,롯데,20,CF,-0.22,0.125,0.375,9.1,-0.3,0,0.333333333,0.49382716,0,0
정보근,롯데,19,C,-0.22,0.125,0.325,-9.9,-0.45,0.03125,0.3125,0.198019802,0,0.0625
김동한,롯데,20,3B,-0.24,0.221,0.568,47.6,-0.64,0.0735294118,0.117647059,0.617283951,6,0.0294117647
정훈,롯데,22,1B,-0.25,0.245,0.62,73.4,-0.68,0.108843537,0.224489796,0.484114977,3,0.0204081633
박헌도,롯데,18,DH,-0.26,0.115,0.412,11.9,-0.29,0,0.384615385,0.495049505,0,0.0384615385
문규현,롯데,19,3B,-0.27,0.25,0.553,43.9,-0.5,0.15625,0.15625,0.297029703,0,0.015625
조홍석,롯데,18,CF,-0.29,0.226,0.556,46.8,0.05,0.0161290323,0.209677419,0.458015267,-2,0.0322580645
나원탁,롯데,18,C,-0.33,0.125,0.25,-55.1,-0.15,0.0416666667,0.416666667,0,0,0
배성근,롯데,22,2B,-0.37,0.128,0.325,-16.5,-0.7,0,0.307692308,0.165289256,0,0.0769230769
최민재,롯데,21,LF,-0.37,0.08,0.268,-35.2,-0.47,0.08,0.32,0.24691358,2,0.04
김사훈,롯데,18,C,-0.38,0.23,0.52,20.3,-0.69,0.0810810811,0.297297297,0.0452488688,0,0
이학주,롯데,22,SS,-0.4,0.207,0.565,49.3,-1.92,0.0646551724,0.232758621,0.295748614,-2,0.0129310345
한동희,롯데,19,3B,-0.41,0.203,0.554,52.4,-1.93,0.0481283422,0.304812834,0.315236427,1,0.0160427807
김준태,롯데,19,C,-0.44,0.159,0.468,34.2,-0.13,0.0909090909,0.261363636,0.519480519,0,0.0113636364
한태양,롯데,22,SS,-0.49,0.148,0.399,7.2,-0.19,0.0491803279,0.393442623,0.20746888,1,0.0163934426
강태율,롯데,22,C,-0.52,0.094,0.296,-28.1,-0.48,0.09375,0.28125,0.21978022,0,0.0625
김동한,롯데,18,3B,-0.57,0.193,0.543,30.1,-0.61,0.108433735,0.21686747,0.497237569,2,0.0120481928
허일,롯데,20,RF,-0.59,0.179,0.52,32.8,-0.46,0.0714285714,0.345238095,0.274914089,0,0.0476190476
조홍석,롯데,19,RF,-0.64,0.115,0.347,-13,-0.63,0.0819672131,0.229508197,0.283687943,1,0.0163934426
오윤석,롯데,19,1B,-0.67,0.222,0.542,49.6,-0.56,0.106060606,0.217171717,0.464037123,0,0.0202020202
민병헌,롯데,20,CF,-0.69,0.233,0.582,50.8,-2.24,0.074433657,0.200647249,0.338164251,4,0.0388349515
조세진,롯데,22,RF,-0.76,0.186,0.416,5.7,-0.64,0.0697674419,0.290697674,0.0398406375,-1,0.0465116279
전병우,롯데,19,1B,-0.79,0.1,0.271,-35.3,-1.22,0,0.44,0.135746606,0,0
정보근,롯데,22,C,-0.91,0.191,0.466,24.1,-1.78,0.0753768844,0.27638191,0.254083485,1,0.0201005025
정보근,롯데,20,C,-1.19,0.15,0.385,-3.9,-1.76,0.037593985,0.240601504,0.342679128,0,0.0526315789
나종덕,롯데,19,C,-1.41,0.124,0.383,-4.2,-2.74,0.0702702703,0.475675676,0.10215664,0,0.027027027
나종덕,롯데,18,C,-1.71,0.124,0.376,-15.1,-1.85,0.0621468927,0.480225989,0.141010576,0,0.011299435
나성범,KIA,22,RF,6.5,0.32,0.91,157.4,3.74,0.172291297,0.243339254,0.466812546,5,0.0124333925
최형우,KIA,20,DH,5.75,0.354,1.023,169.3,7.2,0.220306513,0.19348659,0.692383778,0,0.0172413793
터커,KIA,20,RF,5.74,0.306,0.955,149.6,2.4,0.208487085,0.123616236,1.132637854,-2,0.0221402214
안치홍,KIA,18,2B,4.98,0.342,0.954,140.3,4.06,0.238866397,0.115384615,0.630472855,4,0.0263157895
소크라테스,KIA,22,CF,4.97,0.311,0.848,137,0.61,0.149805447,0.157587549,0.419235512,7,0.0214007782
최형우,KIA,18,LF,4.94,0.339,0.963,143.4,5.7,0.195075758,0.164772727,0.757749713,3,0.0321969697
버나디나,KIA,18,CF,4.55,0.31,0.883,125.4,3.55,0.136452242,0.200779727,0.611057226,19,0.0175438596
최형우,KIA,19,DH,4.16,0.3,0.897,150.3,3.05,0.188596491,0.168859649,1.102464332,-1,0.0285087719
김선빈,KIA,21,2B,3.42,0.307,0.776,116,3.06,0.133732535,0.0778443114,1.432225064,0,0.0379241517
터커,KIA,19,RF,3.25,0.311,0.86,141.4,0.56,0.140056022,0.1232493,0.861678005,0,0.0336134454
최원준,KIA,21,RF,3.14,0.295,0.742,108.6,1.24,0.0747028862,0.115449915,0.895741557,27,0.0118845501
나지완,KIA,20,LF,3.12,0.291,0.837,124.8,4.11,0.196581197,0.243589744,0.560911481,0,0.0128205128
박찬호,KIA,22,SS,3.02,0.271,0.684,95,0.62,0.0910931174,0.13562753,0.84947839,33,0.0182186235
김선빈,KIA,22,2B,2.88,0.287,0.724,109.6,1.39,0.120792079,0.0930693069,1.380042463,11,0.0277227723
안치홍,KIA,19,2B,2.84,0.315,0.792,123.3,0.93,0.135359116,0.102209945,1.078167116,2,0.0248618785
김주찬,KIA,18,1B,2.75,0.34,0.895,122.1,2.43,0.216783217,0.132867133,0.402802102,7,0.034965035
이창진,KIA,19,CF,2.5,0.27,0.745,108.8,-0.85,0.12,0.23,0.618892508,0,0.02
최원준,KIA,20,CF,2.49,0.326,0.808,113.3,2.31,0.0974930362,0.0974930362,0.94017094,11,0.00278551532
나지완,KIA,18,DH,2.35,0.271,0.951,134.3,0.9,0.246056782,0.255520505,0.468557337,0,0.0441640379
김선빈,KIA,19,SS,2.3,0.292,0.73,104.6,1.05,0.101522843,0.0659898477,1.647509579,1,0.0177664975
최형우,KIA,22,DH,2.29,0.264,0.787,123.3,1.16,0.156387665,0.202643172,0.792616721,1,0.0198237885
김선빈,KIA,20,2B,2.26,0.33,0.808,121.1,1.07,0.122112211,0.141914191,0.928074246,0,0.0396039604
류지혁,KIA,22,3B,2.26,0.277,0.719,107.8,1.01,0.118518519,0.204938272,0.673886883,4,0.0148148148
이범호,KIA,18,3B,2.23,0.28,0.848,112.5,1.03,0.207831325,0.177710843,0.710659898,1,0.0361445783
김선빈,KIA,18,SS,2.1,0.295,0.747,94.5,1.23,0.115566038,0.0990566038,1.140142518,3,0.0235849057
박동원,KIA,22,C,2.08,0.244,0.773,110.8,-0.72,0.150568182,0.247159091,0.436280138,1,0.0255681818
이창진,KIA,22,LF,1.84,0.301,0.776,117.2,-0.65,0.138728324,0.182080925,0.649762282,-2,0.0202312139
이명기,KIA,18,RF,1.35,0.302,0.781,95,0.16,0.0939597315,0.143176734,0.624024961,7,0.0111856823
이명기,KIA,19,RF,1.28,0.283,0.705,97.6,-0.9,0.0754716981,0.154716981,0.681265207,1,0.0150943396
류지혁,KIA,21,3B,1.28,0.278,0.714,104.4,-0.08,0.124542125,0.168498168,0.911062907,0,0.0256410256
유민상,KIA,19,1B,1.23,0.291,0.849,139.6,0.46,0.148571429,0.2,0.655270655,0,0.0342857143
박찬호,KIA,21,SS,1.15,0.246,0.644,77.7,0.17,0.141148325,0.174641148,0.73871409,5,0.0263157895
황대인,KIA,22,1B,1.08,0.256,0.716,100,-1.18,0.191176471,0.193277311,0.390879479,0,0.0420168067
박찬호,KIA,19,3B,0.91,0.26,0.618,68.7,-0.19,0.0972222222,0.16468254,0.312876053,33,0.0158730159
김민식,KIA,18,C,0.84,0.245,0.685,71.1,-0.92,0.119354839,0.203225806,0.618066561,3,0.0258064516
터커,KIA,21,LF,0.81,0.237,0.684,91,0.02,0.126068376,0.141025641,0.922844175,0,0.0256410256
김도영,KIA,22,3B,0.72,0.237,0.674,88.1,-0.53,0.0848214286,0.276785714,0.354267311,10,0.0133928571
이창진,KIA,20,CF,0.72,0.33,0.847,130.7,0.16,0.0795454545,0.193181818,0.584795322,-1,0.0227272727
김주찬,KIA,19,1B,0.71,0.3,0.714,97,-0.46,0.0949554896,0.130563798,0.385487528,2,0.0178041543
정성훈,KIA,18,1B,0.7,0.295,0.787,102.7,-0.32,0.153005464,0.267759563,0.32586558,-1,0.0273224044
김태진,KIA,21,3B,0.64,0.276,0.655,76,-0.62,0.094488189,0.167979003,0.358814353,3,0.0183727034
김민식,KIA,21,C,0.62,0.22,0.624,75.7,-0.34,0.104,0.196,0.83503055,0,0.008
한승택,KIA,21,C,0.59,0.217,0.616,70.2,-1.16,0.078817734,0.300492611,0.458265139,0,0.0295566502
유재신,KIA,18,LF,0.57,0.424,1.192,208.2,0.38,0.242424242,0.303030303,0.693069307,4,0
백용환,KIA,20,C,0.52,0.22,0.752,93.9,-0.1,0.10989011,0.318681319,0.481099656,0,0.021978022
한승택,KIA,20,C,0.52,0.226,0.68,72.1,-0.17,0.128318584,0.256637168,0.361445783,0,0.0309734513
나주환,KIA,20,3B,0.52,0.279,0.713,83.4,-0.47,0.12745098,0.215686275,0.272108844,0,0.0294117647
유민상,KIA,20,1B,0.48,0.246,0.709,89.3,0.98,0.166666667,0.205128205,0.661672909,0,0.0333333333
황대인,KIA,20,1B,0.48,0.276,0.798,115.8,0.51,0.137931034,0.25,0.721649485,0,0.0431034483
이우성,KIA,22,LF,0.44,0.292,0.736,106.9,-1.03,0.1,0.166666667,0.597014925,-2,0.0416666667
황윤호,KIA,19,2B,0.43,0.301,0.724,97.3,-0.25,0.0731707317,0.0975609756,0.41322314,0,0.0162601626
고종욱,KIA,22,DH,0.4,0.283,0.752,110.4,0.63,0.132075472,0.198113208,0.331753555,1,0.0188679245
김호령,KIA,21,CF,0.36,0.208,0.638,77.9,-0.97,0.115384615,0.338461538,0.362811791,3,0.0153846154
류승현,KIA,18,3B,0.34,0.307,0.782,99.6,0.36,0.173333333,0.16,0.578512397,0,0.0266666667
신범수,KIA,19,C,0.34,0.211,0.711,96.2,-0.08,0.122807018,0.245614035,0.496453901,0,0.0175438596
한승택,KIA,18,C,0.33,0.247,0.732,77.5,-0.7,0.168539326,0.269662921,0.290456432,0,0.0449438202
김호령,KIA,20,CF,0.3,0.232,0.698,78.6,-0.41,0.115942029,0.398550725,0.254083485,0,0.0144927536
최원준,KIA,18,SS,0.28,0.272,0.688,73.7,1.02,0.105960265,0.19205298,0.344234079,6,0.0132450331
김호령,KIA,22,CF,0.28,0.273,0.684,87.1,-0.63,0.103896104,0.285714286,0.316742081,1,0.0519480519
한승택,KIA,19,C,0.27,0.223,0.602,61.6,-0.5,0.107569721,0.326693227,0.328867235,1,0.03187251
유민상,KIA,18,DH,0.26,0.271,0.904,119.5,-0.11,0.291666667,0.291666667,0.567375887,0,0.0625
이진영,KIA,21,CF,0.26,0.2,0.769,108.2,0,0.125,0.55,0.135746606,1,0
백용환,KIA,19,C,0.24,0.234,0.698,90.9,-0.37,0.127659574,0.29787234,0.212765957,0,0
박준태,KIA,18,RF,0.21,0.228,0.751,86.1,0.15,0.195121951,0.300813008,0.350404313,-2,0.0081300813
유민상,KIA,21,1B,0.21,0.233,0.695,104.1,-0.18,0.1,0.3,0.44198895,0,0.0166666667
최형우,KIA,21,DH,0.2,0.233,0.73,99.8,1.38,0.147453083,0.179624665,0.998509687,0,0.0241286863
최정민,KIA,21,CF,0.18,0.333,0.807,143.1,-0.23,0.0666666667,0.466666667,0.422535211,-1,0.0666666667
류지혁,KIA,20,3B,0.17,0.333,0.789,120.2,-0.01,0.0555555556,0.0555555556,0,1,0.111111111
백용환,KIA,18,C,0.14,0.277,0.691,88.3,0.19,0.085106383,0.319148936,0.59602649,-1,0.0638297872
이정훈,KIA,21,DH,0.14,0.248,0.699,98.9,-0.52,0.108527132,0.255813953,0.574018127,0,0.023255814
황대인,KIA,21,1B,0.11,0.238,0.702,85.1,0.01,0.159574468,0.219858156,0.289855072,0,0.0283687943
김민식,KIA,22,C,0.11,0.241,0.645,79.8,-0.56,0.111111111,0.222222222,0.495867769,0,0.0185185185
이진영,KIA,20,,0.1,0.227,0.643,84.3,-0.01,0.227272727,0.409090909,0.549450549,1,0.0454545455
홍재호,KIA,18,2B,0.1,0.263,0.715,76.5,-0.57,0.118421053,0.157894737,0.661157025,0,0.0263157895
김민식,KIA,20,C,0.08,0.248,0.622,61,-0.36,0.1,0.133333333,0.604982206,0,0.0142857143
오선우,KIA,20,RF,0.08,0.239,0.719,85.3,-0.13,0.208955224,0.388059701,0.114942529,0,0.0298507463
나지완,KIA,19,DH,0.06,0.186,0.665,82.2,-0.7,0.131782946,0.286821705,0.51212938,0,0.023255814
류승현,KIA,19,1B,0.05,0.253,0.633,77.1,-0.12,0.0933333333,0.193333333,0.309278351,1,0.02
김주찬,KIA,20,1B,0.04,0.333,0.833,117,-0.38,0.111111111,0.111111111,0,-1,0.111111111
한준수,KIA,19,C,0.04,0.3,0.7,90.8,-0.07,0.1,0.1,0,0,0.1
김석환,KIA,21,1B,0.03,0.263,0.721,95.1,-0.09,0.157894737,0.368421053,0,0,0
이정훈,KIA,19,C,0.02,0.286,0.624,61,-0.1,0.214285714,0.0714285714,0,0,0.142857143
이범호,KIA,19,,0.02,0.231,0.675,78.9,-0.29,0.192307692,0.115384615,0.967741935,0,0.0384615385
오정환,KIA,21,2B,-0.01,0.235,0.572,53.2,-0.02,0.117647059,0.529411765,0.10989011,0,0
최정용,KIA,19,2B,-0.02,0.286,0.571,53.6,-0.09,0.0476190476,0.476190476,0,0,0
강경학,KIA,21,2B,-0.02,0.182,0.49,47.5,-0.14,0.0909090909,0.272727273,0.322580645,0,0
문선재,KIA,19,LF,-0.02,0.163,0.642,76.9,-0.47,0.12244898,0.367346939,0.497237569,1,0
임석진,KIA,22,3B,-0.04,0.071,0.521,46.4,-0.15,0.0714285714,0.642857143,0.21978022,0,0.0714285714
이인행,KIA,19,RF,-0.04,0.188,0.566,56,0.06,0.125,0.375,0.327868852,0,0.0625
최정민,KIA,20,2B,-0.04,0.125,0.425,31.3,-0.12,0.25,0.125,1.818181818,1,0
홍재호,KIA,19,2B,-0.05,0.211,0.461,25.2,0.17,0,0.263157895,0.196078431,0,0.0526315789
해즐베이커,KIA,19,CF,-0.05,0.146,0.581,55.2,0.22,0.12195122,0.43902439,0.220994475,0,0
황윤호,KIA,21,3B,-0.06,0.176,0.44,26.1,-0.18,0,0.176470588,0.322580645,0,0.0588235294
최정민,KIA,18,2B,-0.07,0.253,0.668,63,-0.36,0.0722891566,0.240963855,0.348258706,-2,0.0240963855
유재신,KIA,19,LF,-0.08,0.255,0.661,80.1,0.11,0.117647059,0.235294118,0.495867769,1,0.0196078431
고장혁,KIA,20,3B,-0.08,0.231,0.462,14.5,-0.22,0,0.384615385,0,0,0
황윤호,KIA,20,3B,-0.09,0.243,0.56,46.3,-1.18,0.0714285714,0.142857143,0.297029703,2,0.0428571429
박정우,KIA,21,CF,-0.09,0.188,0.558,67.6,-0.24,0.0833333333,0.166666667,1.234567901,-2,0.0416666667
권혁경,KIA,21,C,-0.11,0.222,0.444,13.9,-0.27,0,0.333333333,0,0,0.111111111
황대인,KIA,19,1B,-0.12,0.2,0.566,59,-0.2,0,0.32,0.12345679,0,0
고영우,KIA,19,3B,-0.12,0.226,0.54,42.4,-0.08,0.0967741935,0.258064516,0,-1,0.0322580645
이정훈,KIA,22,DH,-0.13,0,0.2,-26.1,-0.22,0,0.375,0.64516129,0,0
김민식,KIA,19,C,-0.14,0.167,0.481,42.3,-0.23,0.145833333,0.302083333,0.515463918,2,0.0104166667
이창진,KIA,21,CF,-0.19,0.209,0.593,63.8,-1.06,0.13253012,0.21686747,0.665434381,5,0.0401606426
이진영,KIA,19,RF,-0.19,0.133,0.267,-42.1,-0.14,0.133333333,0.266666667,0,0,0
오준혁,KIA,18,LF,-0.2,0.118,0.328,-14.5,-0.1,0,0.176470588,0.322580645,0,0.0588235294
신범수,KIA,18,C,-0.2,0.16,0.474,-5.9,-0.18,0.16,0.28,0,0,0.04
한승택,KIA,22,C,-0.21,0.176,0.486,34.7,-0.82,0.107843137,0.294117647,0.299003322,0,0.0196078431
박준태,KIA,19,RF,-0.21,0.171,0.478,26,-0.58,0.0975609756,0.365853659,0.264900662,0,0.0243902439
이우성,KIA,19,LF,-0.22,0.175,0.541,46.2,-0.52,0.125,0.275,0.226244344,0,0.025
박민,KIA,21,SS,-0.22,0.171,0.437,18.8,-0.41,0.0857142857,0.285714286,0.198019802,-1,0.0285714286
이우성,KIA,20,LF,-0.22,0.203,0.519,45.2,-0.31,0.0508474576,0.186440678,0.540540541,1,0.0338983051
서동욱,KIA,18,1B,-0.23,0.204,0.551,42,-0.44,0.0408163265,0.306122449,0.331125828,0,0.0204081633
최정용,KIA,21,2B,-0.23,0.192,0.518,42,-0.66,0.0384615385,0.307692308,0.559006211,2,0.0192307692
나지완,KIA,21,LF,-0.24,0.16,0.496,53.2,-0.12,0.0864197531,0.358024691,0.481099656,0,0.037037037
김규성,KIA,22,2B,-0.25,0.18,0.476,22.3,-0.58,0.08,0.24,0.0826446281,0,0
김규성,KIA,21,SS,-0.28,0.139,0.411,15.5,-0.5,0.0555555556,0.472222222,0.292397661,-1,0
장영석,KIA,20,3B,-0.29,0.129,0.372,5.5,-0.58,0.064516129,0.225806452,0.563380282,0,0.0967741935
오선우,KIA,21,LF,-0.29,0.067,0.192,-57,-0.32,0,0.6,0.10989011,0,0
홍종표,KIA,20,2B,-0.34,0.25,0.57,43.2,-1.01,0.0875,0.1625,0.305343511,-2,0.0125
이영욱,KIA,18,CF,-0.34,0.125,0.25,-54.7,-0.2,0.0625,0.25,0,1,0
최정용,KIA,20,2B,-0.34,0.196,0.492,19.9,-0.04,0.0892857143,0.267857143,0.132450331,0,0
이우성,KIA,21,LF,-0.34,0.2,0.562,56.7,-0.38,0.0470588235,0.2,0.760233918,1,0.0235294118
최정용,KIA,22,2B,-0.37,0.091,0.182,-67.7,-0.37,0,0.272727273,0,0,0
김석환,KIA,22,LF,-0.39,0.149,0.518,47,-1.07,0.0744680851,0.340425532,0.31152648,0,0.0106382979
오선우,KIA,19,RF,-0.39,0.151,0.475,22.9,-0.75,0.0754716981,0.452830189,0.124481328,0,0
