이름,구단,연도,포지션,WAR*,타율,OPS,wRC+,WPA,타점율,삼진율,볼삼비,순도루성공,병살율
노태형,한화,20,2B,-0.27,0.216,0.56,51.6,-0.28,0.0588235294,0.303921569,0.225080386,-1,0
백용환,한화,21,C,-0.27,0.148,0.567,50.3,0.44,0.049382716,0.296296296,0.373443983,0,0.049382716
이성열,한화,21,DH,-0.27,0.21,0.642,79,0.32,0.168067227,0.302521008,0.498614958,1,0.0168067227
임종찬,한화,22,RF,-0.28,0.189,0.549,41.6,-0.12,0.113207547,0.433962264,0.12987013,-1,0.0188679245
유장혁,한화,19,LF,-0.28,0.164,0.466,27,-0.38,0.0727272727,0.309090909,0.292397661,3,0
이원석,한화,22,CF,-0.29,0.114,0.384,0.4,-0.52,0.0285714286,0.514285714,0.165745856,0,0.0285714286
장운호,한화,21,RF,-0.3,0.235,0.603,71,-1.65,0.098245614,0.270175439,0.46692607,-3,0.0245614035
장지승,한화,21,RF,-0.3,0.18,0.517,40.1,-0.7,0.0819672131,0.393442623,0.290456432,2,0.0655737705
이성곤,한화,22,1B,-0.31,0.192,0.55,64,-0.47,0.0505050505,0.323232323,0.529595016,0,0
정민규,한화,22,1B,-0.31,0.13,0.297,-21.7,-0.14,0,0.47826087,0,0,0
오선진,한화,18,3B,-0.32,0.226,0.568,42,-0.69,0.0676691729,0.248120301,0.211480363,3,0.015037594
정경운,한화,18,2B,-0.32,0.067,0.129,-92.5,-0.42,0.133333333,0.466666667,0,0,0.0666666667
임종찬,한화,20,RF,-0.33,0.231,0.602,61.5,-0.49,0.111111111,0.351851852,0.236220472,-1,0.0185185185
이시원,한화,21,CF,-0.37,0.189,0.466,21.5,-0.51,0.0377358491,0.226415094,0.247933884,0,0.0377358491
김인환,한화,19,1B,-0.38,0.214,0.477,28.1,-0.33,0.0476190476,0.214285714,0.21978022,0,0
김지수,한화,21,RF,-0.38,0.083,0.245,-45.5,-0.3,0,0.583333333,0.0709219858,0,0
최진행,한화,18,LF,-0.39,0.213,0.695,69.2,-0.26,0.0955882353,0.389705882,0.282485876,-1,0.0367647059
이해창,한화,21,C,-0.41,0.167,0.415,-1.2,-0.85,0.0740740741,0.240740741,0.0763358779,-1,0
정진호,한화,21,LF,-0.42,0.228,0.59,58.7,-0.73,0.103448276,0.151724138,0.678733032,3,0.0344827586
노태형,한화,21,1B,-0.43,0.116,0.364,3.9,-0.44,0.023255814,0.348837209,0.397350993,0,0
유장혁,한화,20,LF,-0.44,0.167,0.43,16.4,-0.37,0,0.428571429,0.220994475,-1,0
이도윤,한화,21,SS,-0.45,0.175,0.399,6.6,-0.59,0.0317460317,0.285714286,0.220994475,-1,0.0158730159
김민하,한화,18,LF,-0.49,0.216,0.624,46.9,-1.25,0.175257732,0.309278351,0.166112957,0,0.0618556701
박정현,한화,21,SS,-0.52,0.196,0.49,30.9,-0.59,0.0841121495,0.299065421,0.280373832,1,0.00934579439
김태균,한화,20,1B,-0.53,0.219,0.613,64.6,-0.5,0.132420091,0.191780822,0.712589074,0,0.0365296804
호잉,한화,20,RF,-0.55,0.194,0.576,48.8,-0.5,0.112903226,0.274193548,0.263929619,2,0.0322580645
이시원,한화,20,CF,-0.58,0.105,0.234,-48.3,-0.58,0.0263157895,0.368421053,0,0,0
이도윤,한화,22,SS,-0.69,0.159,0.461,20.5,-1.37,0.0707964602,0.265486726,0.265780731,1,0.00884955752
이원석,한화,21,CF,-0.71,0.175,0.466,22,-1.37,0.0789473684,0.377192982,0.185614849,2,0.00877192982
유장혁,한화,21,CF,-0.72,0.143,0.443,15.3,-1.14,0.0714285714,0.397959184,0.204603581,1,0.0204081633
최인호,한화,20,LF,-0.73,0.236,0.497,31.9,-1.14,0.062992126,0.267716535,0.117302053,0,0.0236220472
양성우,한화,19,LF,-0.77,0.168,0.445,20.6,-1.12,0.0504201681,0.235294118,0.320284698,1,0.0168067227
노시환,한화,19,1B,-0.8,0.186,0.501,36.4,-1.52,0.0734463277,0.406779661,0.152565881,0,0.0169491525
유로결,한화,22,LF,-0.82,0.133,0.333,-11.4,-1.05,0.0666666667,0.15,0.43956044,0,0.0166666667
이성열,한화,20,DH,-0.94,0.203,0.601,57.5,-1.13,0.149779736,0.303964758,0.23154848,0,0.0176211454
임종찬,한화,21,RF,-1.06,0.152,0.44,18.7,-1.09,0.0606060606,0.371212121,0.244399185,-1,0.0151515152
홍창기,LG,21,CF,6.98,0.328,0.865,152.6,4.47,0.0992366412,0.18129771,1.156677182,15,0.0114503817
오지환,LG,22,SS,5.77,0.269,0.827,138.6,2.56,0.17611336,0.21659919,0.578898226,13,0.0222672065
김현수,LG,20,LF,5.31,0.331,0.92,148.4,5.17,0.217550274,0.0968921389,1.186440678,-2,0.0164533821
김현수,LG,22,LF,4.88,0.286,0.848,145.1,2.7,0.202290076,0.118320611,1.14331723,1,0.00954198473
김현수,LG,18,LF,4.79,0.362,1.004,155.2,4.23,0.222958057,0.134657837,0.769230769,-2,0.0198675497
채은성,LG,18,RF,4.73,0.331,0.927,137.5,3.44,0.224952741,0.183364839,0.360453141,2,0.02268431
오지환,LG,20,SS,4.41,0.3,0.823,119.9,1.21,0.134724858,0.220113852,0.387596899,12,0.00759013283
라모스,LG,20,1B,4.35,0.278,0.954,153.6,2.45,0.199535963,0.315545244,0.404114622,2,0.0162412993
문보경,LG,22,3B,4.02,0.315,0.833,138.3,1.1,0.137931034,0.137931034,0.837789661,7,0.0270935961
이천웅,LG,19,CF,3.98,0.308,0.751,114.3,2.02,0.0879120879,0.15018315,0.694275274,11,0.0238095238
홍창기,LG,20,CF,3.91,0.279,0.827,129.5,2.81,0.0955882353,0.213235294,0.952927669,6,0.0196078431
유강남,LG,18,C,3.68,0.296,0.86,118.7,-0.62,0.155294118,0.188235294,0.349563046,0,0.0494117647
김현수,LG,19,LF,3.57,0.304,0.807,125.8,3.29,0.155893536,0.0988593156,1.03646833,2,0.0209125475
박해민,LG,22,CF,3.45,0.289,0.715,103.9,0.6,0.0859649123,0.149122807,0.517038778,18,0.00701754386
오지환,LG,19,SS,3.37,0.252,0.717,100.8,0.85,0.11205074,0.238900634,0.50397878,22,0.0147991543
유강남,LG,19,C,3.35,0.27,0.772,117,0,0.11722488,0.196172249,0.365408039,0,0.0502392344
김현수,LG,21,LF,3.31,0.285,0.811,128.3,3.02,0.191699605,0.0830039526,1.828978622,3,0.0138339921
홍창기,LG,22,RF,3.17,0.286,0.745,119.2,1.27,0.116704805,0.171624714,0.785619174,9,0.0251716247
채은성,LG,19,RF,3.16,0.316,0.794,124.5,-0.31,0.153518124,0.140724947,0.363086233,0,0.0191897655
이형종,LG,18,CF,3.05,0.316,0.844,117.8,2.16,0.0961098398,0.187643021,0.377588307,2,0.0137299771
이형종,LG,19,LF,2.99,0.286,0.799,125.2,0.34,0.150357995,0.186157518,0.537772087,1,0.0214797136
유강남,LG,20,C,2.91,0.261,0.745,101.7,0.77,0.172494172,0.195804196,0.380499405,0,0.041958042
채은성,LG,22,1B,2.89,0.296,0.79,127.3,-0.22,0.177730193,0.188436831,0.306469921,-1,0.034261242
채은성,LG,21,RF,2.86,0.276,0.812,128.2,2.6,0.211886305,0.206718346,0.474406991,2,0.023255814
오지환,LG,18,SS,2.83,0.278,0.75,89.4,2.62,0.133208255,0.273921201,0.403832991,5,0.0112570356
이형종,LG,20,RF,2.73,0.296,0.916,146.7,0.05,0.174216028,0.212543554,0.441898527,1,0.0243902439
문성주,LG,22,DH,2.48,0.303,0.823,136,0.48,0.125382263,0.110091743,1.412742382,3,0.0397553517
이천웅,LG,18,LF,2.41,0.34,0.842,119.7,1.65,0.108635097,0.133704735,0.810810811,0,0.0306406685
오지환,LG,21,SS,2.33,0.254,0.691,93.9,-0.53,0.122844828,0.176724138,0.65773447,6,0.0237068966
유강남,LG,22,C,2.3,0.255,0.677,94.9,0.41,0.112980769,0.235576923,0.346585117,0,0.0216346154
유강남,LG,21,C,2.2,0.252,0.693,93.3,-0.94,0.151133501,0.188916877,0.332889481,2,0.0277078086
채은성,LG,20,RF,2.08,0.293,0.803,116.9,-0.14,0.211538462,0.165865385,0.463096961,-3,0.0288461538
김민성,LG,19,3B,1.66,0.26,0.694,94.6,0.43,0.138504155,0.207756233,0.399467377,1,0.0332409972
가르시아,LG,18,3B,1.53,0.339,0.903,131.4,0.32,0.18579235,0.136612022,0.358565737,5,0.0163934426
박용택,LG,18,LF,1.38,0.303,0.828,112.7,2.63,0.145038168,0.204198473,0.438842204,0,0.0400763359
양석환,LG,18,3B,1.37,0.263,0.759,89.6,0.37,0.169772257,0.167701863,0.295930949,0,0.0186335404
페게로,LG,19,1B,1.22,0.286,0.804,127.3,1.8,0.221105528,0.316582915,0.190174326,1,0.0100502513
이재원,LG,22,DH,1.19,0.224,0.769,122,0.61,0.192825112,0.34529148,0.233463035,2,0.0134529148
문보경,LG,21,1B,1.06,0.23,0.701,97.1,0.79,0.14028777,0.230215827,0.717628705,2,0.0179856115
김민성,LG,20,3B,0.96,0.266,0.709,87.8,-0.3,0.158249158,0.222222222,0.363086233,1,0.0269360269
이형종,LG,21,DH,0.93,0.218,0.721,104.8,-2.58,0.142259414,0.271966527,0.522273425,2,0.0418410042
조셉,LG,19,1B,0.91,0.274,0.758,115.6,0.07,0.182741117,0.233502538,0.303687636,-1,0.0152284264
정주현,LG,18,2B,0.85,0.261,0.704,76.9,1.63,0.102310231,0.224422442,0.396475771,15,0.0297029703
김민성,LG,21,3B,0.83,0.222,0.663,80.7,-0.6,0.108333333,0.202777778,0.574555404,0,0.0194444444
서건창,LG,21,2B,0.76,0.247,0.655,82.1,-0.29,0.10212766,0.144680851,0.703812317,6,0.0212765957
가르시아,LG,22,2B,0.59,0.206,0.661,93.1,-0.91,0.139705882,0.294117647,0.473815461,3,0.0294117647
라모스,LG,21,1B,0.58,0.243,0.739,107.1,-0.15,0.135135135,0.232432432,0.417633411,0,0.0108108108
이천웅,LG,20,CF,0.58,0.256,0.667,81.7,-0.87,0.115384615,0.141025641,0.793650794,3,0.0224358974
정주현,LG,21,2B,0.43,0.238,0.664,79.7,-0.7,0.0552486188,0.17679558,0.747663551,0,0.0220994475
박용택,LG,20,LF,0.39,0.3,0.735,97.2,0.08,0.161290323,0.156682028,0.439882698,2,0.0322580645
박용택,LG,19,LF,0.34,0.282,0.683,92.7,-0.85,0.112820513,0.153846154,0.598006645,2,0.0153846154
서상우,LG,18,,0.32,0.29,0.77,106.5,-0.01,0.202898551,0.260869565,0.662983425,-1,0.0144927536
손호영,LG,22,2B,0.31,0.257,0.741,106.7,0.03,0.189189189,0.189189189,0.425531915,-3,0.027027027
손호영,LG,20,3B,0.29,0.367,0.82,125.3,-0.34,0.1,0.2,0.163934426,5,0.0666666667
허도환,LG,22,C,0.29,0.247,0.622,71.2,-0.49,0.0705882353,0.305882353,0.0766283525,0,0.0235294118
서건창,LG,22,2B,0.28,0.224,0.605,73.4,-1.75,0.0821917808,0.200913242,0.453514739,5,0.0228310502
이영빈,LG,21,1B,0.27,0.243,0.668,86.6,0.22,0.108108108,0.344594595,0.293542074,3,0.00675675676
이재원,LG,21,RF,0.25,0.247,0.699,96.4,-0.6,0.11038961,0.311688312,0.291060291,4,0.012987013
송찬의,LG,22,2B,0.25,0.236,0.699,100.2,-0.65,0.138888889,0.333333333,0.0829875519,1,0
