이름,구단,연도,WAR,승리기여율,이닝,볼삼비,삼진율,ERA,ERA+,FIP,FIP+,WHIP,WPA
이승현,삼성,2019,1.16,0.2352941176470588,37.0,2.7927927927927927,0.8378378378378378,1.95,223.0,3.4,124.8,1.05,0.36
라이블리,삼성,2019,1.1,0.4444444444444444,57.0,4.427480916030534,1.0175438596491229,3.95,109.9,3.23,132.1,1.12,0.25
우규민,삼성,2022,1.07,0.2833333333333333,47.0,5.081967213114754,0.6595744680851063,3.26,128.2,3.36,122.7,1.3,-0.31
권오준,삼성,2018,1.06,0.0638297872340425,43.1,4.297520661157025,1.2064965197215778,3.95,134.4,4.57,115.0,1.27,-0.11
임현준,삼성,2020,1.05,0.0980392156862745,25.1,2.535211267605634,0.7171314741035856,1.78,276.1,4.58,106.2,1.22,0.42
최지광,삼성,2019,1.03,0.1904761904761904,68.0,1.4962593516209477,0.8823529411764706,4.1,105.8,4.26,99.5,1.53,-0.71
우규민,삼성,2021,1.02,0.4333333333333333,49.0,3.8461538461538463,0.7142857142857143,3.31,136.5,3.84,118.1,1.37,-0.84
원태인,삼성,2019,0.85,0.2,112.0,1.7391304347826086,0.6071428571428571,4.82,90.0,4.76,89.7,1.41,-1.59
최지광,삼성,2020,0.85,0.2941176470588235,44.1,1.4469453376205788,1.020408163265306,4.87,100.7,4.14,116.9,1.47,-0.54
윤성환,삼성,2019,0.82,0.2962962962962963,145.1,1.2974051896207583,0.4479669193659545,4.77,91.0,4.94,86.3,1.5,-1.05
김윤수,삼성,2020,0.82,0.1967213114754098,58.0,1.3183279742765273,0.7068965517241379,4.66,105.4,4.99,97.8,1.67,-1.34
최채흥,삼성,2018,0.78,1.0,28.0,3.08641975308642,0.8928571428571429,3.21,165.0,5.33,98.9,1.36,0.06
맥과이어,삼성,2019,0.76,0.1904761904761904,112.1,1.5128593040847202,0.8920606601248885,5.05,86.0,5.05,84.7,1.65,-0.37
이상민,삼성,2022,0.72,0.1956521739130435,29.1,1.52317880794702,0.7903780068728522,3.68,113.4,5.73,72.6,1.53,0.2
임현준,삼성,2019,0.72,0.1126760563380281,42.1,2.8925619834710745,0.831353919239905,3.4,127.6,3.43,123.7,1.09,0.45
홍정우,삼성,2022,0.7,0.0384615384615384,26.2,1.5267175572519085,0.7633587786259542,3.04,137.4,4.31,96.3,1.2,-0.73
라이블리,삼성,2021,0.66,0.0,33.1,2.900763358778626,1.148036253776435,4.05,111.5,4.23,107.0,1.08,0.33
임현준,삼성,2018,0.64,0.075,27.2,2.3423423423423424,0.9558823529411764,3.9,135.9,4.99,104.8,1.12,0.18
김대우,삼성,2020,0.63,0.0526315789473684,77.2,1.417624521072797,0.4792746113989637,5.1,96.2,5.35,91.3,1.56,-0.91
이승현,삼성,2022,0.59,0.2407407407407407,50.0,1.7647058823529411,0.78,4.68,89.2,4.52,91.4,1.4,1.11
김승현,삼성,2018,0.56,0.0714285714285714,32.1,1.9205298013245036,0.9034267912772586,4.45,119.1,4.92,106.3,1.95,-0.83
허윤동,삼성,2020,0.56,0.1818181818181818,45.0,0.5787781350482315,0.4,4.8,102.2,6.11,79.3,1.64,-0.21
정인욱,삼성,2018,0.49,0.0,31.0,2.967032967032967,0.8709677419354839,3.48,152.3,4.51,115.9,1.29,-0.1
문용익,삼성,2022,0.47,0.0769230769230769,37.2,1.0407239819004523,0.6182795698924731,3.35,124.8,4.72,86.7,1.41,-0.19
최지광,삼성,2021,0.35,0.2333333333333333,51.1,1.808118081180812,0.958904109589041,4.91,91.9,4.38,102.9,1.56,0.15
노건우,삼성,2020,0.34,0.2222222222222222,36.1,1.1683848797250858,0.9418282548476454,4.46,110.0,5.23,92.7,1.57,-0.37
최채흥,삼성,2019,0.32,0.4,106.2,2.465373961218837,0.8380414312617702,4.81,90.2,3.97,107.8,1.53,-1.21
문용익,삼성,2021,0.31,0.0909090909090909,22.0,1.8811881188118813,0.8636363636363636,4.5,100.3,4.88,93.0,1.41,0.28
홍정우,삼성,2021,0.31,0.0,15.2,2.9268292682926838,0.7894736842105263,3.45,131.0,5.06,90.5,1.15,-0.22
장필준,삼성,2020,0.3,0.1379310344827586,36.0,1.6149068322981366,0.7222222222222222,5.75,85.3,5.61,87.5,1.72,-0.94
양창섭,삼성,2020,0.28,0.0,6.2,1.2903225806451613,0.6451612903225806,2.7,181.7,5.21,94.7,1.35,0.22
권오준,삼성,2019,0.24,0.0697674418604651,43.0,2.1487603305785123,0.6046511627906976,5.23,82.9,5.29,81.4,1.42,-0.18
이승민,삼성,2022,0.23,0.0,5.1,0.3921568627450981,0.3921568627450981,1.69,247.4,5.4,75.0,1.31,0.11
몽고메리,삼성,2021,0.21,0.1818181818181818,52.0,1.4435695538057742,1.0576923076923077,5.37,84.1,4.39,102.0,1.62,-0.71
노건우,삼성,2021,0.21,0.0625,19.0,1.3475177304964538,1.0,4.74,95.3,5.07,88.9,1.26,-0.57
김대우,삼성,2022,0.2,0.0,4.1,50.0,1.2195121951219514,2.08,201.0,1.03,389.6,0.92,0.08
이승현,삼성,2022,0.19,0.2586206896551724,47.2,2.701421800947867,1.2076271186440677,4.53,92.1,3.7,112.0,1.34,-1.38
장원삼,삼성,2018,0.18,0.375,38.0,2.0610687022900764,0.7105263157894737,6.16,86.1,4.89,107.2,1.58,-0.43
최충연,삼성,2022,0.18,0.0,38.1,1.4427860696517412,0.7611548556430446,4.7,88.9,4.56,90.0,1.54,-0.29
이재희,삼성,2021,0.16,0.0,21.2,1.683168316831683,0.8018867924528302,5.4,83.6,4.35,103.7,1.57,-0.06
심창민,삼성,2021,0.16,0.2711864406779661,51.1,1.806853582554517,1.1350293542074363,5.08,88.8,5.32,85.3,1.54,-0.43
김시현,삼성,2019,0.14,0.0,16.1,1.234567901234568,0.6211180124223602,4.41,98.4,6.22,69.1,1.47,-0.08
이승현,삼성,2021,0.14,0.1707317073170731,39.1,1.9913419913419912,1.1764705882352942,5.26,85.8,3.97,113.2,1.48,-0.32
이상민,삼성,2021,0.13,0.1,24.2,0.9929078014184396,0.578512396694215,4.74,95.2,4.95,90.8,1.7,0.31
백정현,삼성,2020,0.1,0.3636363636363636,59.0,2.690058479532164,0.7796610169491526,5.19,94.6,5.78,85.6,1.42,-0.87
박주혁,삼성,2022,0.1,0.0,6.2,0.7317073170731708,0.4838709677419354,1.35,309.2,6.19,67.0,1.35,-0.03
김대우,삼성,2019,0.09,0.0227272727272727,59.2,2.484472049689441,0.6756756756756757,5.13,84.6,5.52,78.2,1.29,-0.42
백정현,삼성,2022,0.08,0.1666666666666666,124.2,1.8867924528301887,0.5636070853462157,5.2,80.3,5.59,74.6,1.53,-1.38
김윤수,삼성,2019,0.08,0.0,11.2,0.8910891089108911,0.8035714285714286,4.63,93.8,6.66,64.4,1.71,-0.32
홍정우,삼성,2020,0.07,0.0333333333333333,30.0,2.396694214876033,0.9666666666666668,6.6,74.3,5.09,96.7,1.63,-0.23
이재익,삼성,2021,0.07,0.0,10.0,0.4132231404958678,0.5,4.5,100.3,6.93,65.1,2.3,-0.22
이상민,삼성,2020,0.05,0.0625,14.0,1.1711711711711712,0.9285714285714286,6.43,76.3,7.77,63.7,2.0,-0.62
이수민,삼성,2022,0.04,0.0,4.2,0.3921568627450981,0.4761904761904761,5.79,72.2,9.12,45.4,1.71,-0.1
장필준,삼성,2022,0.03,0.0,30.0,1.1258278145695364,0.5666666666666667,5.7,73.2,4.24,96.3,1.77,-1.2
노건우,삼성,2022,0.02,0.0,2.0,0.6451612903225806,1.0,4.5,92.8,5.84,69.1,2.5,-0.09
박정준,삼성,2022,0.02,0.0,10.0,0.7843137254901962,0.4,6.3,66.3,6.94,60.0,1.5,-0.01
박세웅,삼성,2022,0.01,0.0,2.2,0.3921568627450981,0.9090909090909092,6.75,61.8,8.59,46.9,2.25,-0.07
헤일리,삼성,2019,0.0,0.2631578947368421,87.2,2.463343108504399,0.963302752293578,5.75,75.5,3.6,118.1,1.47,-1.03
정인욱,삼성,2020,-0.03,0.0,5.1,0.7317073170731708,0.5882352941176471,8.44,58.1,7.68,63.7,1.69,-0.01
우규민,삼성,2020,-0.03,0.3461538461538461,48.0,3.296703296703297,0.625,6.19,79.3,3.68,131.8,1.46,0.05
황수범,삼성,2018,-0.03,0.0,2.1,0.3278688524590164,0.9523809523809524,11.57,45.8,9.83,52.3,3.86,0.0
안성무,삼성,2018,-0.03,0.0,2.1,4.545454545454545,2.380952380952381,11.57,45.8,11.98,44.8,1.71,-0.0
장지훈,삼성,2019,-0.04,0.0,14.1,1.0810810810810811,0.851063829787234,6.28,69.1,4.24,99.1,2.3,-0.19
한기주,삼성,2018,-0.05,0.09375,39.0,2.479338842975207,0.7692307692307693,6.69,79.3,6.27,84.2,1.69,-1.22
김용하,삼성,2018,-0.06,0.0,3.0,0.9756097560975612,1.3333333333333333,9.0,58.9,8.17,63.0,2.0,0.01
임현준,삼성,2021,-0.06,0.1851851851851851,11.0,1.1267605633802815,0.7272727272727273,6.55,69.0,4.88,91.3,1.64,-0.68
이승현,삼성,2018,-0.08,0.1052631578947368,17.0,1.971830985915493,0.8235294117647058,7.94,66.8,6.83,77.3,1.77,-0.28
김서준,삼성,2022,-0.09,0.0,2.2,0.4878048780487805,0.9090909090909092,10.13,41.2,12.34,33.7,3.75,-0.02
이승민,삼성,2020,-0.09,0.2,26.1,0.8376963350785339,0.6130268199233716,6.84,71.8,6.86,71.6,2.01,-0.69
박근홍,삼성,2018,-0.1,0.0,23.0,2.231404958677686,1.173913043478261,7.43,71.3,5.53,94.5,1.74,-0.6
박세웅,삼성,2021,-0.11,0.0,3.0,0.6451612903225806,0.6666666666666666,9.0,50.2,10.33,44.2,2.67,-0.1
김기태,삼성,2018,-0.12,0.0,1.2,20.0,1.6666666666666667,27.0,19.6,26.63,20.3,2.4,-0.01
김시현,삼성,2018,-0.13,0.0,5.0,2.380952380952381,1.0,12.6,42.1,9.43,56.4,2.4,0.03
최하늘,삼성,2022,-0.15,0.1111111111111111,33.2,1.1920529801324504,0.5421686746987951,6.15,67.9,5.71,72.6,1.69,-0.32
정인욱,삼성,2019,-0.15,0.0,21.2,0.9933774834437088,0.7075471698113208,7.06,61.5,4.97,85.1,1.8,-0.19
윤성환,삼성,2020,-0.16,0.0,18.2,0.3603603603603604,0.2197802197802197,5.79,84.8,5.38,89.1,1.61,-0.39
양창섭,삼성,2021,-0.16,0.1111111111111111,15.0,1.6049382716049383,0.8666666666666667,6.6,68.4,5.8,78.7,1.93,-0.4
최지광,삼성,2018,-0.18,0.0,8.2,0.9859154929577464,0.853658536585366,11.42,46.4,4.64,110.8,2.08,-0.04
홍정우,삼성,2019,-0.21,0.0,5.1,0.4878048780487805,0.3921568627450981,10.13,42.9,10.34,41.9,2.63,-0.06
임대한,삼성,2022,-0.23,0.0833333333333333,13.2,0.8791208791208791,0.6060606060606061,5.27,79.2,4.88,84.3,1.54,-0.66
허윤동,삼성,2021,-0.25,0.0,3.2,2.727272727272727,0.9375,12.27,36.8,6.88,66.8,2.46,-0.38
이재익,삼성,2022,-0.26,0.1666666666666666,33.1,2.307692307692308,0.634441087613293,5.94,70.3,4.54,91.5,1.5,-0.78
구준범,삼성,2021,-0.27,0.0,2.0,0.3225806451612903,0.5,22.5,20.1,21.33,21.7,2.5,-0.37
김승현,삼성,2019,-0.29,0.0,12.2,0.4395604395604395,0.3278688524590164,6.39,67.9,5.14,81.7,1.58,-0.17
권오준,삼성,2020,-0.32,0.0588235294117647,16.0,3.225806451612903,0.625,8.44,58.1,5.31,93.0,1.56,-0.41
김윤수,삼성,2021,-0.33,0.0526315789473684,19.0,1.461988304093567,1.3157894736842106,6.63,68.1,4.91,91.6,2.21,-0.65
황동재,삼성,2020,-0.35,0.0,1.1,0.7317073170731708,2.727272727272727,54.0,9.1,17.81,27.9,9.0,-0.33
김대우,삼성,2021,-0.39,0.037037037037037,51.0,1.7880794701986755,0.5294117647058824,6.35,71.0,5.0,91.0,1.63,-1.41
김승현,삼성,2022,-0.43,0.3333333333333333,4.0,1.2195121951219514,1.25,11.25,37.1,10.34,40.9,2.5,-0.26
김대우,삼성,2018,-0.43,0.2857142857142857,36.1,0.8287292817679557,0.4155124653739612,7.93,66.9,7.25,72.7,1.95,-1.1
장필준,삼성,2021,-0.43,0.048780487804878,34.2,0.8856088560885609,0.7017543859649122,7.27,62.1,5.78,78.1,2.11,-0.68
이승현,삼성,2021,-0.45,0.0476190476190476,17.0,0.8641975308641976,0.4117647058823529,9.53,47.4,8.51,54.1,2.24,-0.49
윤성환,삼성,2018,-0.52,0.2083333333333333,117.1,2.7725856697819315,0.7600341588385995,6.98,76.0,6.47,81.9,1.67,-3.55
심창민,삼성,2020,-0.54,0.1304347826086956,20.1,1.160220994475138,1.044776119402985,7.52,65.2,6.36,76.8,1.77,-0.22
양창섭,삼성,2022,-0.6,0.3333333333333333,20.1,0.8264462809917356,0.4975124378109452,8.41,49.6,6.19,66.9,1.77,-0.7
김윤수,삼성,2022,-0.64,0.0833333333333333,35.0,1.4479638009049771,0.9142857142857144,5.91,70.6,4.22,96.8,1.74,-0.26
허윤동,삼성,2022,-0.81,0.3333333333333333,55.0,1.0557184750733135,0.6545454545454545,6.55,63.8,6.1,67.8,1.78,-0.95
이승민,삼성,2021,-0.88,0.0909090909090909,35.2,1.2154696132596683,0.625,8.58,52.6,6.05,75.1,1.91,-1.17
장지훈,삼성,2020,-0.98,0.0,27.2,1.1374407582938388,0.8823529411764706,10.08,48.6,7.71,63.9,2.17,-1.11
최충연,삼성,2019,-1.03,0.15625,36.2,1.0761154855643045,1.1325966850828728,7.36,58.9,5.15,82.3,2.24,-1.22
황동재,삼성,2022,-1.29,0.0769230769230769,66.1,1.7041800643086815,0.8018154311649017,7.06,59.2,4.91,84.6,1.84,-1.89
루친스키,NC,2020,5.59,0.6333333333333333,183.0,2.924693520140105,0.912568306010929,3.05,160.2,3.84,125.8,1.26,3.04
루친스키,NC,2019,4.64,0.3,177.1,2.638580931263858,0.6719367588932806,3.05,138.4,3.96,106.6,1.18,2.51
구창모,NC,2020,4.62,0.6428571428571429,93.1,5.635359116022099,1.0955961331901185,1.74,281.5,2.92,165.6,0.81,2.8
루친스키,NC,2021,4.48,0.5,178.2,3.2123411978221417,0.9932659932659932,3.17,143.1,3.32,135.9,1.2,1.88
루친스키,NC,2022,4.38,0.3225806451612903,193.2,5.689149560117301,1.0041407867494825,2.97,136.9,2.91,140.9,1.13,2.8
구창모,NC,2022,3.96,0.5789473684210527,111.2,3.711340206185567,0.9712230215827338,2.1,194.4,3.11,132.0,1.08,2.49
박진우,NC,2019,3.82,0.217391304347826,140.2,3.161512027491409,0.6562054208273895,3.14,134.4,3.95,106.8,1.18,2.46
파슨스,NC,2021,3.71,0.1666666666666666,133.0,2.345483359746434,1.112781954887218,3.72,122.0,3.66,123.3,1.29,0.5
이용찬,NC,2022,2.93,0.3728813559322034,60.2,4.656488549618321,1.0132890365448504,2.08,196.1,2.76,148.2,1.14,2.45
구창모,NC,2019,2.67,0.5263157894736842,107.0,2.707838479809976,1.0654205607476634,3.2,131.8,3.81,111.5,1.19,1.09
이재학,NC,2018,2.67,0.1724137931034483,152.1,2.3625254582484723,0.762656147271532,4.79,108.4,4.54,115.4,1.35,-1.06
신민혁,NC,2021,2.65,0.36,145.0,2.4263038548752838,0.7379310344827587,4.41,103.0,4.4,102.9,1.37,0.11
프리드릭,NC,2019,2.38,0.5833333333333334,72.0,2.5339366515837103,0.7777777777777778,2.75,153.2,3.57,118.3,1.18,0.79
송명기,NC,2020,2.31,0.0,87.2,1.8414322250639383,0.8256880733944953,3.7,132.2,5.06,95.9,1.34,0.1
왕웨이중,NC,2018,2.28,0.28,141.2,2.693266832917706,0.764872521246459,4.26,121.9,4.62,113.5,1.48,-0.52
베렛,NC,2018,2.22,0.2068965517241379,155.0,2.4365482233502536,0.9290322580645162,5.28,98.2,5.3,99.1,1.53,-2.29
